"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnessium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL HEALTH","50011","N/A","10/12/2020","10/17/2020","12","24","8.2","","1.6","HIGH","0.7","5.2","60","36.8","4.4","31.7","1.2","32.9","4","2.6","1.0","24","3142","153","307","74.4","0.01","1.5","1.4","0.08","6.0","8.7","13.60","0.14","1.53","2.88","0.25","0.70","2.16","123.9","6.4","28.8","96.20","114.1","123.9","9.8","6.26","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50012","N/A","10/12/2020","10/17/2020","24","36","8.4","","1.5","HIGH","0.6","3.6","49","36.5","5.2","30.2","1.4","31.6","3","2.7","0.5","21","3175","169","292","37.4","0.01","1.5","1.1","0.06","5.6","7.3","9.46","0.17","1.52","3.67","0.12","0.41","1.86","119.2","6.5","25.5","91.52","108.7","119.2","10.5","6.69","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50013","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.8","HIGH","0.6","8.2","76","12.2","5.0","6.4","1.5","7.9","11","8.5","2.4","49","2853","132","217","28.1","0.02","2.3","4.0","0.08","11.3","10.8","15.00","0.71","2.19","2.86","0.78","1.62","2.84","36.2","21.3","58.7","60.84","23.1","36.2","13.1","8.40","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50014","N/A","10/12/2020","10/17/2020","12","24","8.3","","1.3","HIGH","0.6","6.3","65","34.2","4.4","30.9","0.7","31.6","4","3.1","0.9","32","3139","151","280","52.9","0.02","2.1","1.3","0.10","6.8","9.7","14.69","0.15","1.72","2.71","0.25","0.60","2.37","119.8","7.7","38.1","98.69","111.2","119.8","8.5","5.46","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50015","N/A","10/12/2020","10/17/2020","24","36","8.4","","1.2","HIGH","0.7","4.0","28","29.4","4.2","26.0","0.5","26.5","3","2.5","0.4","23","3009","170","321","32.6","0.01","1.6","0.5","0.07","5.4","14.3","6.74","0.16","2.37","1.78","0.16","0.22","1.38","104.0","6.2","27.6","82.80","93.6","104.0","10.4","6.68","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50016","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.9","HIGH","0.7","6.7","61","13.9","4.9","8.9","1.0","9.9","11","9.0","2.3","47","2840","131","205","28.9","0.01","2.5","3.9","0.09","12.0","10.9","12.52","0.54","2.14","2.75","0.76","1.55","2.38","43.5","22.5","56.7","64.98","32.1","43.5","11.4","7.30","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50017","N/A","10/12/2020","10/17/2020","12","24","8.5","","1.3","HIGH","0.6","6.0","54","34.3","6.0","27.6","1.0","28.6","6","4.6","1.2","38","3041","141","283","51.3","0.01","1.7","2.0","0.09","6.8","11.1","9.07","0.21","2.65","3.34","0.40","0.81","2.28","112.6","11.6","45.7","99.41","99.4","112.6","13.2","8.47","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50018","N/A","10/12/2020","10/17/2020","24","36","8.6","","1.1","HIGH","0.7","3.7","35","30.8","3.3","26.7","0.7","27.4","3","2.6","0.6","25","3129","165","337","36.4","0.02","1.4","0.8","0.03","4.5","10.6","10.54","0.12","1.40","1.91","0.20","0.42","1.40","103.8","6.4","30.1","83.95","96.1","103.8","7.6","4.89","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50019","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.8","HIGH","0.7","7.4","69","12.3","4.3","7.3","1.2","8.5","11","8.8","1.9","49","2887","129","192","28.2","0.02","2.2","3.8","0.07","10.9","10.7","16.12","0.54","1.84","2.46","0.60","1.27","2.56","37.3","21.5","59.2","61.86","26.4","37.3","10.9","6.99","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50020","N/A","10/12/2020","10/17/2020","12","24","8.4","","1.4","HIGH","0.6","6.3","63","35.9","5.1","31.2","1.1","32.3","5","3.9","1.1","30","3079","149","285","57.0","0.02","1.8","2.2","0.06","7.1","10.1","12.34","0.16","2.04","3.04","0.34","0.78","2.39","123.5","9.7","36.4","101.02","112.3","123.5","11.2","7.15","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50021","N/A","10/12/2020","10/17/2020","24","36","8.4","","1.3","HIGH","0.5","3.1","51","33.7","5.4","27.1","0.9","28.0","4","3.0","0.8","17","3105","162","317","42.1","0.02","1.3","1.0","0.05","4.8","6.1","9.48","0.19","1.31","4.05","0.15","0.67","1.86","105.3","7.2","20.8","80.59","97.6","105.3","7.8","4.97","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50022","N/A","10/12/2020","10/17/2020","0","12","8.5","","1.0","HIGH","0.7","6.5","72","16.9","5.2","12.8","1.6","14.4","13","9.0","4.1","50","2841","129","230","33.7","0.01","2.1","3.7","0.07","10.2","9.1","13.70","0.45","1.90","3.34","1.11","2.96","2.61","58.5","23.3","59.7","76.35","46.1","58.5","12.4","7.94","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50023","N/A","10/12/2020","10/17/2020","12","24","8.4","","1.4","HIGH","0.8","5.0","52","40.1","5.5","34.1","0.9","35.0","3","2.6","0.0","27","3138","161","330","66.6","0.01","1.3","1.0","0.11","4.6","9.7","9.31","0.16","2.15","3.39","0.01","0.03","2.08","133.8","6.1","33.0","104.47","122.8","133.8","11.0","7.05","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50024","N/A","10/12/2020","10/17/2020","24","36","8.4","","1.4","HIGH","0.7","3.4","43","28.4","4.5","23.0","0.9","23.9","3","2.9","0.4","22","2978","185","373","43.3","0.01","1.4","0.8","0.05","5.4","7.9","9.66","0.19","1.41","3.06","0.09","0.31","1.65","91.0","6.8","26.6","74.19","82.8","91.0","8.2","5.27","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50025","N/A","10/12/2020","10/17/2020","0","12","8.5","","1.2","HIGH","0.6","3.1","41","33.4","3.9","29.4","0.7","30.1","4","3.5","0.4","26","3031","156","309","41.1","0.01","1.4","1.0","0.04","7.0","7.6","10.47","0.13","1.18","2.69","0.09","0.31","1.51","112.8","8.3","31.0","90.89","105.8","112.8","6.9","4.44","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50026","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.9","HIGH","0.7","6.1","54","14.8","4.1","12.9","1.3","14.2","7","5.6","1.3","33","2872","147","266","38.7","0.02","1.7","1.9","0.08","10.1","11.3","13.27","0.38","1.84","2.22","0.43","0.84","2.09","57.8","13.9","39.8","62.30","46.4","57.8","11.4","7.28","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50027","N/A","10/12/2020","10/17/2020","24","36","8.6","","1.1","HIGH","0.6","3.6","44","21.0","3.2","18.2","0.9","19.1","3","2.9","0.4","13","2992","180","345","40.0","0.01","1.3","0.8","0.05","5.4","8.2","13.78","0.18","1.04","2.13","0.09","0.26","1.55","72.3","6.8","15.6","56.71","65.5","72.3","6.8","4.36","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50028","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.8","HIGH","0.6","6.6","69","18.6","5.5","12.5","1.2","13.7","14","11.2","3.1","53","2801","122","205","30.7","0.02","2.3","4.2","0.10","11.0","9.6","12.58","0.42","2.10","3.37","0.88","2.18","2.58","57.0","27.8","64.0","79.33","45.0","57.0","12.0","7.67","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50029","N/A","10/12/2020","10/17/2020","12","24","8.4","","1.3","HIGH","0.5","5.2","51","34.3","5.4","28.9","1.1","30.0","5","4.1","0.9","40","3068","135","289","61.2","0.01","1.7","2.2","0.08","8.6","10.2","9.39","0.19","2.21","3.22","0.28","0.63","2.08","115.8","10.0","48.3","102.19","104.0","115.8","11.8","7.54","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50030","N/A","10/12/2020","10/17/2020","24","36","8.3","","1.3","HIGH","0.6","3.6","48","45.9","7.4","38.7","1.1","39.8","7","5.7","1.1","36","2965","139","313","41.1","0.01","1.8","1.6","0.08","7.7","7.5","6.54","0.19","2.20","5.16","0.25","0.86","2.06","151.2","13.8","43.7","124.03","139.3","151.2","11.9","7.63","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50031","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.8","HIGH","0.6","7.0","73","13.6","4.9","8.2","1.8","10.0","12","9.7","2.2","52","2869","126","199","29.2","0.01","2.6","4.0","0.04","11.3","9.5","14.93","0.57","1.88","3.05","0.63","1.57","2.66","42.9","23.7","61.9","67.62","29.6","42.9","13.3","8.51","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50032","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.8","HIGH","0.6","4.1","59","15.9","2.6","13.6","1.4","15.0","3","3.4","0.1","30","3104","136","237","22.0","0.01","1.7","1.8","0.10","6.6","6.9","23.26","0.19","0.71","1.84","0.01","0.04","1.85","56.7","7.8","35.5","57.02","49.0","56.7","7.7","4.92","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50033","N/A","10/12/2020","10/17/2020","24","36","8.8","","0.9","HIGH","0.6","2.5","52","15.5","2.5","12.4","0.8","13.2","3","3.0","0.3","25","3192","150","310","40.3","0.01","1.6","0.9","0.04","4.8","4.8","20.92","0.19","0.48","2.01","0.05","0.27","1.54","49.4","7.0","30.5","49.59","44.6","49.4","4.8","3.04","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50034","N/A","10/12/2020","10/17/2020","0","12","8.3","","1.2","HIGH","0.6","7.4","58","29.7","3.4","25.0","1.1","26.1","11","8.0","3.2","50","2861","125","270","50.0","0.02","2.3","3.8","0.12","10.5","12.9","16.79","0.13","1.76","1.67","1.23","1.97","2.23","100.3","21.2","59.5","102.15","90.0","100.3","10.3","6.57","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50035","N/A","10/12/2020","10/17/2020","12","24","8.5","","1.0","HIGH","0.6","4.8","60","16.6","4.2","12.8","1.3","14.1","10","6.5","3.2","54","3001","128","244","33.3","0.02","2.2","2.9","0.10","9.3","8.0","14.25","0.34","1.35","2.86","0.77","2.43","2.10","55.6","16.6","65.2","74.64","46.1","55.6","9.5","6.08","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50036","N/A","10/12/2020","10/17/2020","24","36","8.6","","1.3","HIGH","0.7","3.5","41","26.6","3.8","23.6","0.9","24.5","3","2.6","0.5","18","3112","170","397","43.9","0.02","1.6","0.9","0.04","6.5","8.6","10.66","0.17","1.31","2.52","0.14","0.39","1.55","92.9","6.3","21.8","72.76","85.0","92.9","7.9","5.06","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50037","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.8","HIGH","0.6","6.7","60","17.3","3.9","14.4","1.2","15.6","7","5.4","1.2","49","2969","132","223","32.5","0.01","1.9","3.9","0.07","9.5","11.1","15.32","0.29","1.75","2.18","0.39","0.78","2.27","62.3","13.3","58.7","74.40","51.8","62.3","10.5","6.70","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50038","N/A","10/12/2020","10/17/2020","12","24","8.4","","1.1","HIGH","0.6","7.6","40","35.3","4.0","30.5","0.9","31.4","3","2.6","0.8","31","3259","150","294","50.0","0.01","1.5","0.9","0.07","5.3","19.0","9.96","0.13","3.05","0.97","0.47","0.35","1.96","123.9","7.2","37.6","100.85","109.8","123.9","14.1","9.00","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50039","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.2","HIGH","0.5","4.9","38","21.3","2.9","17.5","0.6","18.1","3","2.6","0.2","32","3306","160","304","32.6","0.01","1.6","0.8","0.05","5.5","13.0","12.82","0.16","1.53","1.40","0.07","0.10","1.53","70.7","6.1","37.9","66.53","63.0","70.7","7.7","4.90","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50040","N/A","10/12/2020","10/17/2020","0","12","8.3","","1.0","HIGH","0.6","7.1","66","20.0","4.4","15.7","1.2","16.9","7","5.9","1.3","161","2916","128","230","36.5","0.02","2.1","4.0","0.07","10.2","10.7","15.12","0.28","1.88","2.51","0.41","0.86","2.48","67.4","14.6","193.1","145.38","56.5","67.4","10.9","6.98","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50041","N/A","10/12/2020","10/17/2020","12","24","8.3","","1.7","HIGH","0.7","6.6","69","47.1","8.6","37.9","1.4","39.3","4","2.7","0.9","26","3310","156","331","64.9","0.02","1.5","1.7","0.07","5.8","9.5","8.03","0.22","3.29","5.35","0.25","0.62","2.91","153.4","6.8","31.7","116.65","136.4","153.4","16.9","10.82","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50042","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.1","HIGH","0.5","4.9","61","21.6","5.1","16.5","1.2","17.7","3","2.4","0.7","19","3310","157","299","33.3","0.01","1.4","1.2","0.05","4.7","8.0","12.01","0.31","1.63","3.46","0.16","0.52","2.22","69.7","6.0","22.7","58.30","59.4","69.7","10.3","6.62","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50043","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.8","HIGH","0.6","7.3","82","13.1","4.7","7.9","1.2","9.1","10","8.0","1.9","56","2876","122","196","25.2","0.02","2.1","3.9","0.09","10.3","8.9","17.58","0.55","1.66","3.00","0.51","1.39","2.84","38.9","19.7","67.0","66.04","28.6","38.9","10.3","6.61","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50044","N/A","10/12/2020","10/17/2020","12","24","8.3","","1.1","HIGH","0.5","4.7","63","30.7","3.9","26.5","0.9","27.4","6","5.0","0.8","39","3070","131","238","45.5","0.01","1.8","1.8","0.06","7.1","7.5","16.30","0.14","1.15","2.72","0.18","0.63","2.12","102.9","11.9","47.2","94.07","95.4","102.9","7.5","4.77","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50045","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.0","HIGH","0.5","3.9","61","24.5","3.7","20.5","0.7","21.2","8","6.1","1.6","33","2976","140","281","29.8","0.01","1.7","1.4","0.06","7.9","6.4","16.40","0.18","0.95","2.77","0.30","1.28","1.98","79.7","14.6","39.4","76.42","73.8","79.7","5.9","3.76","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50046","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.8","HIGH","0.6","6.7","73","10.8","4.6","6.0","1.0","7.0","10","7.4","2.3","51","2860","122","188","19.7","0.01","2.3","3.5","0.06","10.8","9.2","15.96","0.74","1.68","2.90","0.63","1.65","2.59","31.1","18.5","61.1","57.68","21.5","31.1","9.7","6.17","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50047","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.7","HIGH","0.5","6.1","62","15.5","2.8","12.5","1.0","13.5","5","4.2","0.9","39","3076","135","206","22.7","0.01","1.5","1.9","0.07","6.5","9.8","22.16","0.22","1.10","1.70","0.26","0.62","2.13","52.4","10.2","47.2","61.11","45.0","52.4","7.4","4.75","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50048","N/A","10/12/2020","10/17/2020","24","36","8.7","","0.9","HIGH","0.6","4.0","55","14.9","2.7","12.4","0.8","13.2","4","3.1","1.0","20","3269","153","278","48.4","0.01","1.5","1.2","0.03","4.5","7.2","20.40","0.22","0.78","1.92","0.21","0.77","1.78","50.2","7.6","24.4","47.31","44.6","50.2","5.6","3.56","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50049","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.1","HIGH","0.6","7.0","75","15.7","4.0","11.6","1.1","12.7","9","7.5","2.0","54","2861","121","256","37.9","0.01","2.3","3.0","0.06","10.0","9.4","18.53","0.35","1.51","2.51","0.55","1.40","2.59","51.2","18.6","64.8","72.44","41.8","51.2","9.5","6.06","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50050","N/A","10/12/2020","10/17/2020","12","24","8.3","","1.3","HIGH","0.6","5.2","70","25.2","4.6","20.9","0.8","21.7","3","3.4","0.0","26","3046","149","348","61.9","0.02","1.9","1.5","0.10","7.2","7.4","15.35","0.22","1.35","3.23","0.01","0.03","2.38","83.1","7.9","30.6","71.55","75.2","83.1","7.9","5.03","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50051","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.6","HIGH","0.5","3.3","58","38.4","5.3","32.6","1.1","33.7","5","4.0","0.5","24","2975","158","411","68.5","0.04","1.7","1.2","0.06","6.8","5.6","10.98","0.16","1.20","4.12","0.09","0.42","2.03","125.8","9.4","28.3","98.30","117.4","125.8","8.4","5.40","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
