"Sample Type","Lab ID","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","1:1 pH","Woodruff Buffer pH","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnessium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL HEALTH","154","100","6/16/2020","6/16/2020","0","2","4.8","6.4","0.96","NONE","1.7","65.7","110.94","70.88","11.89","43.17","15.82","58.99","45.59","38.99","6.6","193.5","254.33","81.1","12.19","1.24","1.18","231.41","26.91","0.48","426.59","59.22","9.33","0.2","11.89","0","6.6","0","9.98","42.53","104.86","232.2","184.21","25.9","42.53","16.63","10.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","155","100","6/16/2020","6/16/2020","0","2","4.7","6.1","0.7","NONE","1.6","60.6","120.34","78.13","9.77","45.24","23.12","68.36","48.35","43.43","4.92","184.77","231.1","75.89","12.23","0.72","1.38","223.18","29.09","1.08","445.99","50.36","12.32","0.14","9.77","0","4.92","0","9.44","46.88","111.2","221.72","184.23","27.14","46.88","19.73","12.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","156","100","6/16/2020","6/16/2020","0","2","6.4","","0.62","NONE","2.8","93.1","91.41","19.82","9.52","6.99","3.31","10.3","19.42","14.2","5.22","92.34","945.43","74","11.72","2.52","0.5","47.91","16.07","0.15","241.08","101.85","9.6","0.92","9.52","0","5.22","0","12.09","11.89","44.67","110.81","80.43","4.19","11.89","7.7","4.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","157","100","6/16/2020","6/16/2020","0","2","6.4","","0.52","NONE","2.9","68.5","92.38","21.3","10.52","7.79","2.99","10.78","15.58","13.16","2.42","81.5","947.46","67.56","12.66","2.56","0.57","44.12","18.31","0.16","255.23","74.15","8.78","0.98","10.52","0","2.42","0","9.75","12.78","35.83","97.8","71.05","4.67","12.78","8.11","5.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","158","100","6/16/2020","6/16/2020","0","2","6.6","","0.58","NONE","2.9","124.4","153.19","24.54","13.46","8.16","2.92","11.08","16.12","14.29","1.83","81.31","975.68","68.58","12.46","2.73","0.65","37.14","16.69","0.16","232.27","81.21","11.38","1.21","13.46","0","1.83","0","14.78","14.72","37.08","97.57","72.67","4.9","14.72","9.83","6.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","159","100","6/16/2020","6/16/2020","0","2","5.6","6.6","0.34","NONE","3","76.8","149.09","22.87","14.1","6.12","2.65","8.77","28.41","24.22","4.19","98.72","742.42","90.81","13.12","1.95","0.51","118.78","14.7","0.31","320.96","51.51","10.57","1.61","14.1","0","4.19","0","12.07","13.72","65.34","118.46","93.5","3.67","13.72","10.05","6.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","160","100","6/16/2020","6/16/2020","0","2","5.8","6.4","0.44","NONE","3","72.3","147.59","24.07","13.74","7.98","2.35","10.33","25.78","20.9","4.88","113.19","793.86","88.77","11.57","2.02","0.6","89.93","15.87","0.28","293.84","48.99","10.74","1.33","13.74","0","4.88","0","11.56","14.44","59.29","135.83","100.28","4.79","14.44","9.65","6.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","161","100","6/16/2020","6/16/2020","0","2","6.3","6.5","0.5","NONE","2.8","108.1","154.19","23.31","13.74","6.58","2.99","9.57","16.5","14.07","2.43","89.26","941.79","76.18","12.34","2.43","0.48","50.21","15.88","0.19","257.18","70.11","11.22","1.44","13.74","0","2.43","0","13.47","13.99","37.95","107.11","77.31","3.95","13.99","10.04","6.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","162","100","6/16/2020","6/16/2020","0","2","5.6","6.2","0.46","NONE","3.3","105.6","155.65","25.78","15.59","8","2.19","10.19","35.27","31.05","4.22","108.46","730.82","99.16","14.57","1.74","0.67","135.66","17.71","0.27","341.95","67.84","9.98","1.53","15.59","0","4.22","0","13.47","15.47","81.12","130.15","106.61","4.8","15.47","10.67","6.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","163","100","6/16/2020","6/16/2020","0","2","5.6","5.8","0.3","NONE","3.1","97.8","148.39","21.55","14.01","5.63","1.91","7.54","28.99","25.59","3.4","82.91","719.05","94.13","11.93","2.02","0.63","145.78","15.82","0.33","333.8","65.91","10.59","1.86","14.01","0","3.4","0","14.15","12.93","66.68","99.49","84.03","3.38","12.93","9.55","6.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","164","100","6/16/2020","6/16/2020","0","2","5.7","6.2","0.32","NONE","3.3","65","136.97","19.85","12.42","5.59","1.84","7.43","26.59","23.01","3.58","98.33","718.56","99.29","12.96","2","0.54","144.46","15.54","0.31","321.72","47.46","11.03","1.67","12.42","0","3.58","0","10.48","11.91","61.16","118","90.47","3.35","11.91","8.56","5.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","165","100","6/16/2020","6/16/2020","0","2","5.5","5.9","0.34","NONE","3.1","77.9","137.83","21.77","13.18","6.37","2.22","8.59","26.97","22.25","4.72","89.93","729.33","96.57","12.05","2.21","0.6","131.24","15.74","0.35","308.84","56.52","10.46","1.53","13.18","0","4.72","0","11.86","13.06","62.03","107.92","86.51","3.82","13.06","9.24","5.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","166","100","6/16/2020","6/16/2020","0","2","7.6","","4.26","HIGH","2.6","47.4","217.94","198.43","14.96","180.9","2.57","183.47","167.38","164.73","2.65","617.55","4644.08","407.37","247.5","23.48","2.11","7.01","20.31","0.25","50.85","21.75","14.57","0.08","13.01","1.95","1.73","0.92","10.59","117.89","382.86","741.06","595.29","108.54","117.89","9.35","5.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","167","100","6/16/2020","6/16/2020","0","2","7.6","","3","HIGH","2.8","46.9","225.51","130.95","23.79","104.32","2.84","107.16","120.98","119.74","1.24","549.34","4818.09","384.64","172.14","20.81","1.46","4.43","13.83","0.16","34.89","20.8","9.48","0.22","19.79","4","0.77","0.47","11.58","76.17","277.18","659.21","486.45","62.59","76.17","13.58","8.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","168","100","6/16/2020","6/16/2020","0","2","8","","1.9","HIGH","2.9","48","176.99","92.64","15.88","73.88","2.88","76.76","82.21","81.11","1.1","416.12","5058.37","374.56","144.09","20.1","1.18","3.53","9.79","0.18","36.31","27.12","11.15","0.21","15.88","0","0.89","0.21","9.93","55.58","188.61","499.34","358.8","44.33","55.58","11.26","7.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","169","100","6/16/2020","6/16/2020","0","2","8","","1.74","HIGH","2.8","51.2","186.25","88.05","21.35","64.22","2.48","66.7","69.78","68.04","1.74","375.18","5116.53","376.62","115.35","17.98","1.04","3.35","7.97","0.18","39.6","27.49","8.72","0.32","21.35","0","1.43","0.31","10.98","52.83","159.79","450.22","321.24","38.53","52.83","14.3","9.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","170","100","6/16/2020","6/16/2020","2","4","7.9","","1.76","HIGH","2.3","26.6","178.53","72.05","21.29","47.57","3.19","50.76","93.35","92","1.35","408.29","4392.93","378.08","81.18","14.27","1.27","6.74","9.58","0.25","61.32","14.9","8.39","0.42","12.69","8.6","0.6","0.75","8.36","38.07","212.99","489.95","352.4","28.54","38.07","9.53","6.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","171","100","6/16/2020","6/16/2020","0","2","7.8","","2.14","HIGH","3","53.3","171.8","82.98","20.11","60.78","2.09","62.87","125.24","120.81","4.43","443.18","4584.26","398.13","131.94","17.2","1.46","5.95","15.8","0.28","57.73","31.02","8.54","0.32","20.11","0","4.12","0.31","10.78","49.79","287.35","531.82","409.84","36.47","49.79","13.32","8.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","172","100","6/16/2020","6/16/2020","0","2","7.9","","2.52","HIGH","3.2","45.6","184.59","101.15","23.72","75.21","2.22","77.43","151.16","144.7","6.46","450","4075.79","401.62","141.86","15.84","2","6.33","21.69","0.42","58.8","24.7","7.78","0.31","23.44","0.28","4.79","1.67","10.62","60.52","343.82","540","442.82","45.13","60.52","15.4","9.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","173","100","6/16/2020","6/16/2020","0","2","7.7","","2.94","HIGH","3.5","65.2","193.98","148.33","17.05","129.4","1.88","131.28","268.98","252.61","16.37","634.43","3929.41","446.86","166.1","19.46","2.63","7.35","22.67","0.32","56.14","33.61","11.38","0.13","17.05","0","16.37","0","12.1","89","618.65","761.32","678.89","77.64","89","11.36","7.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
