"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Cover crop mix"
"83303","9/26/2022","9/28/2022","503511","6.8","","0.11","NONE","2.2","32.39","28.37","12.11","114.94","13.4","2.86","16.26","25.81","24.4","1.41","97.68","526.52","152.11","66.74","3.14","0.66","11.47","0.29","105.85","13.76","28.18","9.49","0.75","12.11","0","1.19","0.22","6.75","34.05","58.87","117.22","121.1","16.08","34.05","17.97","18.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503512","6.4","7","0.12","NONE","2.4","23.86","31.86","13.5","124.29","15.5","2.86","18.36","25.06","23.8","1.26","102.93","552.82","150.72","65.92","4.02","0.66","13.76","0.27","111.17","13.23","19.2","9.21","0.74","10.36","3.13","0.73","0.54","6.22","34.47","56.41","123.51","123.55","18.6","34.47","15.87","16.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503513","6.9","","0.06","NONE","1.7","19.26","18.96","10.79","102.33","5.41","2.76","8.17","40.09","39.8","0.29","36.04","534.05","150.65","46.33","2.83","0.39","6.39","0.26","130.64","24.45","18.82","9.49","1.32","8.12","2.67","0.16","0.12","5.05","19.55","91.91","43.25","84.23","6.49","19.55","13.06","13.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503514","6.5","7","0.04","NONE","1.5","19.59","17.32","9.87","95.44","4.77","2.68","7.45","14.27","12.8","1.47","48.44","477.5","152.22","57.62","2.51","0.43","5.94","0.3","108.17","16","20.53","9.67","1.32","8.1","1.76","0.9","0.56","4.85","18.66","31.52","58.13","62.97","5.72","18.66","12.94","13.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","60% Legume 40% Grass"
"83303","9/26/2022","9/28/2022","503515","6.6","","0.06","NONE","1.8","20.16","17.93","10.55","101.96","4.41","2.97","7.38","12.39","10.5","1.89","45.58","462.7","152.4","69.8","2.24","0.41","6.14","0.35","97.19","15.76","19.77","9.66","1.43","8.34","2.21","1.12","0.77","5.11","18.87","26.73","54.7","59.27","5.29","18.87","13.58","14.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503516","8","","0.19","NONE","1.7","13.05","17.2","9.9","102.99","4.12","3.18","7.3","59.59","59.5","0.09","23.65","1446.37","89.72","12.03","12.57","0.19","2.47","0.1","207","37.13","12.67","10.41","1.36","5.02","4.88","0.03","0.06","4.35","14.78","136.93","28.38","92.55","4.94","14.78","9.83","10.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","60% Legume 40% Grass"
"83303","9/26/2022","9/28/2022","503517","7.3","","0.05","NONE","1.3","16.26","13.68","7.85","83.56","3.09","2.74","5.83","11.82","10.3","1.52","27.34","446.27","135.75","41.69","1.4","0.29","5.01","0.36","108.46","18.94","19.46","10.64","1.35","6.12","1.74","0.89","0.63","4.08","14.33","25.73","32.81","43.15","3.71","14.33","10.63","11.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","60% Legume 40% Grass"
"83303","9/26/2022","9/28/2022","503518","6.8","","0.04","NONE","1.2","18.09","10.39","4.86","69.84","3.05","2.48","5.53","7.44","5.84","1.6","29.47","382.83","146.44","57.54","1.95","0.32","3.67","0.4","99.78","18.59","25.91","14.36","0.88","4.86","0","1.24","0.36","3.69","12.47","16.3","35.37","38.15","3.66","12.47","8.81","9.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","60% Legume 40% Grass"
"83303","9/26/2022","9/28/2022","503519","8.2","","0.26","HIGH","2.6","31.43","29.77","16.22","160.76","11","2.55","13.55","31.17","30.2","0.97","222.7","1980.33","67.82","6.79","21.46","0.11","2.79","0.15","217.03","43.22","19.55","9.91","1.2","12.69","3.54","0.57","0.4","7.98","31.48","70.77","267.24","198.92","13.2","31.48","18.28","19.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503520","8","","0.29","HIGH","3.3","41.32","40.71","21.73","204.63","15.9","3.08","18.98","55.83","54","1.83","357.56","2175.41","79.51","10.25","22.39","0.15","3.84","0.18","218.14","41.59","20.19","9.42","1.14","17.55","4.18","1.11","0.72","10.4","43.84","126.76","429.07","318.43","19.08","43.84","24.76","25.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","40% Legume 60% Grass"
"83303","9/26/2022","9/28/2022","503521","8.1","","0.34","HIGH","3.3","37.09","49.9","25.4","232.04","22.2","2.3","24.5","70.31","70.3","0.01","487.79","2044.5","81.03","9.91","29.63","0.22","4.82","0.17","218.73","51.55","15.99","9.14","1.04","16.24","9.16","0.01","0.01","10.89","48.89","161.71","585.35","417.9","26.64","48.89","22.25","23.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","40% Legume 60% Grass"
"83303","9/26/2022","9/28/2022","503522","8.4","","0.28","HIGH","1.7","17.02","30.13","16.38","168.97","11.7","2.05","13.75","2.75","2.28","0.47","124.76","2741.5","25","2.29","15.13","0.03","0.35","0.08","256.02","105.06","10.07","10.32","1.19","6.6","9.78","0.14","0.33","6.72","24.42","5.57","149.72","102.82","14.04","24.42","10.38","10.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503523","8.4","","0.29","HIGH","2.2","24","37.48","18.15","190.73","16.8","2.53","19.33","9.96","8.66","1.3","261.94","2567.4","38.7","5.12","16.68","0.05","0.76","0.11","230.79","80.82","12.58","10.51","0.94","9.13","9.02","0.49","0.81","8.03","34.16","21.04","314.33","202.37","20.16","34.16","14","14.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503524","8.3","","0.37","HIGH","2.4","27.46","48.12","24.55","249.32","20.7","2.87","23.57","11.19","9.44","1.75","419","2510.93","34.56","5.5","21.62","0.05","0.8","0.1","233.99","103.18","11.02","10.16","1.04","10.82","13.73","0.58","1.17","10.19","41.26","23.04","502.8","304.91","24.84","41.26","16.42","17.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","40% Legume 60% Grass"
"83303","9/26/2022","9/28/2022","503525","8.6","","0.29","HIGH","1.5","7.06","23.1","14.35","150.34","6.25","2.5","8.75","1.85","1.68","0.17","25.64","2817.5","11.66","1.79","24.23","0.04","0.26","0.07","339.22","161.48","4.7","10.48","1.64","2.7","11.65","0.02","0.15","5.15","13.74","3.92","30.77","31.48","7.5","13.74","6.24","6.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503526","8.4","","0.3","HIGH","1.7","11.89","27.11","16.25","178.23","8.84","2.02","10.86","2.13","1.94","0.19","72.81","2818.23","13.82","1.43","20.92","0.02","0.28","0.06","270.9","117.34","6.67","10.97","1.5","4.34","11.91","0.04","0.15","6.38","18.23","4.55","87.38","64.74","10.61","18.23","7.63","7.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503527","8.5","","0.43","HIGH","1.7","16.97","32.56","18.68","203.49","11.6","2.28","13.88","2.11","2.03","0.08","220.95","2699.99","14.23","1.63","39.72","0.03","0.31","0.1","309.56","194.73","8.34","10.89","1.35","6.23","12.45","0.02","0.06","7.64","24.14","4.72","265.14","159.84","13.92","24.14","10.22","10.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503528","8.2","","0.31","HIGH","2.7","16.8","27.19","12.49","114.15","12.2","2.5","14.7","33.73","32.2","1.53","195.19","2350.12","47.46","7","41.02","0.08","0.92","0.12","239.68","35.75","14.71","9.14","0.85","7.35","5.14","0.67","0.85","5.21","26.46","75.61","234.23","179.41","14.64","26.46","11.82","12.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503529","8.2","","0.31","HIGH","2.7","22.15","27.09","11.38","114.76","13.4","2.31","15.71","51.11","49.3","1.81","205.27","1894.98","79.95","8.07","39.15","0.33","2.13","0.37","225.33","39.53","19.3","10.09","0.72","8.78","2.59","1.05","0.76","5.65","29.39","115.8","246.32","207","16.08","29.39","13.31","13.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503530","8","","0.38","HIGH","2.9","26.91","32.63","12.56","121.57","17.7","2.37","20.07","59.96","57.5","2.46","286.84","1905.44","70.19","9.06","46.8","0.29","1.68","0.21","224.2","32.8","22.14","9.68","0.63","11.12","1.44","1.63","0.83","6.38","37.43","136.01","344.21","273.59","21.24","37.43","16.19","16.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503531","8.6","","0.26","HIGH","1.9","7.51","16.44","10.72","101.4","3.51","2.21","5.72","5.83","4.9","0.93","63.01","2495.42","38.45","4.87","28.5","0.06","0.32","0.1","256.16","73.21","7.41","9.46","1.87","3.18","7.54","0.21","0.72","3.85","10.68","11.74","75.62","54.31","4.21","10.68","6.47","6.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","60% Legume 40% Grass"
"83303","9/26/2022","9/28/2022","503532","8.5","","0.25","HIGH","1.9","7.96","17.47","11.09","117.53","4.33","2.05","6.38","4.64","3.98","0.66","120.84","2617.48","25.92","3.18","32.79","0.03","0.25","0.05","250.94","80.93","6.77","10.6","1.74","3","8.08","0.13","0.53","4.26","11.26","9.46","145.01","88.57","5.2","11.26","6.06","6.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","60% Legume 40% Grass"
"83303","9/26/2022","9/28/2022","503533","8.6","","0.24","HIGH","1.9","8.92","20.79","11.57","127.74","6.56","2.66","9.22","6.93","6.01","0.92","152.43","2566.82","26.18","3.68","24.88","0.03","0.28","0.09","265.43","73.96","6.98","11.04","1.25","3.23","8.34","0.19","0.73","4.6","14.94","14.27","182.92","113.56","7.87","14.94","7.07","7.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","60% Legume 40% Grass"
"83303","9/26/2022","9/28/2022","503534","8.6","","0.33","HIGH","1.7","4.18","14.16","9.39","118.9","2.35","2.42","4.77","1.94","1.76","0.18","11.82","2856.51","12.97","1.99","50.95","0.03","0.16","0.05","294.65","157.86","3.52","12.67","1.97","1.32","8.07","0.02","0.16","3.74","7.31","4.09","14.19","16.58","2.82","7.31","4.49","4.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","60% Legume 40% Grass"
"83303","9/26/2022","9/28/2022","503535","8.6","","0.51","HIGH","1.7","6.66","16.36","10.72","124.96","2.54","3.1","5.64","1.91","1.8","0.11","51.35","2960.83","10.36","1.58","90.04","0.03","0.17","0.05","305.15","157.62","5.33","11.66","1.9","2.29","8.43","0.02","0.09","4.24","9.51","4.18","61.62","42.62","3.05","9.51","6.46","6.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","60% Legume 40% Grass"
"83303","9/26/2022","9/28/2022","503536","8.7","","0.3","HIGH","1.7","4.65","15.51","11","125.35","2.39","2.12","4.51","2.06","2.01","0.05","22.89","2745.18","13.47","1.46","37.12","0.02","0.2","0.07","325.42","203.77","3.71","11.4","2.44","1.63","9.36","0.01","0.05","4.07","7.37","4.64","27.47","23.53","2.87","7.37","4.5","4.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","60% Legume 40% Grass"
"83303","9/26/2022","9/28/2022","503537","8.1","","0.23","NONE","1.9","38.41","31.96","17.33","179.86","11.7","2.93","14.63","40.12","38.5","1.62","54.58","708.14","132.82","36.06","12.64","1.11","17.12","0.59","211.88","67.47","21.36","10.38","1.18","14.8","2.53","1.04","0.58","9.17","35.32","90.94","65.49","111.31","14.04","35.32","21.28","22.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503538","7.9","","0.26","NONE","1.7","31.46","34.64","16.52","165.2","15.6","2.52","18.12","30.95","28.2","2.75","42.71","654.4","145.54","39.98","15.27","1.06","18.97","0.65","205.14","68.68","19.04","10","0.91","12.58","3.94","1.57","1.18","8.1","36.85","68.48","51.25","95.45","18.72","36.85","18.13","18.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503539","8.1","","0.21","NONE","1.8","37.28","30.24","17.68","149.73","10.5","2.06","12.56","44.31","43.2","1.11","51.95","649.78","130.11","41.79","11.82","1.27","21.27","0.64","199.94","56.75","24.9","8.47","1.41","17.61","0.07","0.83","0.28","8.49","36.2","101.26","62.34","115.4","12.6","36.2","23.6","24.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503540","7.8","","0.32","NONE","2.2","68.02","46.46","19.37","174.01","24.4","2.69","27.09","55.96","55.3","0.66","65.63","670.22","129.43","40.56","18.51","1.46","21.6","0.65","219.36","70.49","39.09","8.99","0.71","19.37","0","0.66","0","12.22","55.75","128.72","78.76","156.56","29.28","55.75","26.47","27.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","40% Legume 60% Grass"
"83303","9/26/2022","9/28/2022","503541","7.9","","0.38","NONE","2.1","53.21","53.46","22.3","189.05","28.7","2.46","31.16","55.85","55.1","0.75","60.12","744.92","133.22","39","25.08","1.37","20.74","0.61","231.92","77.28","28.15","8.48","0.72","22.3","0","0.64","0.12","11.33","64.15","128.19","72.14","161.75","34.44","64.15","29.71","30.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","40% Legume 60% Grass"
"83303","9/26/2022","9/28/2022","503542","7.7","","0.34","NONE","2.1","68.55","58.68","20.93","175.36","34.8","2.95","37.75","54.49","52.7","1.79","58.58","670.51","120.55","39.58","16.45","1.46","23.84","0.6","205.16","63.4","39.09","8.38","0.55","20.93","0","1.79","0","12.45","70.41","125.33","70.3","166.03","41.76","70.41","28.65","29.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","10% Legume 90% Grass"
"83303","9/26/2022","9/28/2022","503543","7.9","","0.37","NONE","1.9","62.93","58.61","21.54","174.22","34.8","2.27","37.07","39.84","37.2","2.64","46.07","686.25","127.3","38.48","17.55","1.27","21.29","0.63","209.19","72.16","36.12","8.09","0.58","21.54","0","2.64","0","11.93","70.33","91.62","55.28","142.93","41.76","70.33","28.57","29.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","10% Legume 90% Grass"
"83303","9/26/2022","9/28/2022","503544","7.8","","0.39","NONE","1.9","58.04","55.8","21.55","172.31","30.8","3.45","34.25","45.87","43.6","2.27","52.09","668.6","131.82","40.71","19.45","1.27","22.79","0.6","205.75","72.7","33.68","7.99","0.63","21.55","0","2.27","0","11.41","66.96","105.51","62.51","149.43","36.96","66.96","30","31.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","40% Legume 60% Grass"
"83303","9/26/2022","9/28/2022","503545","7.6","","0.45","NONE","2.4","80.77","106.37","19.58","191.18","81.4","5.39","86.79","69.81","68","1.81","75.47","698.01","112.95","39.51","18.93","1.72","25.26","0.54","225.25","66.14","42.25","9.76","0.23","19.58","0","1.81","0","13.86","127.64","160.56","90.56","251.89","97.68","127.64","29.96","31.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","10% Legume 90% Grass"
"83303","9/26/2022","9/28/2022","503546","8.1","","0.24","NONE","1.9","16.28","39.05","19.32","136.65","16.2","3.53","19.73","44.31","42.4","1.91","43.18","707.18","130.6","35.29","29.73","1.18","13.86","0.62","226.55","92.12","11.91","7.07","0.98","9.2","10.11","0.68","1.23","6.29","34.72","99.09","51.82","107.6","19.44","34.72","15.28","15.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503547","8.2","","0.24","NONE","2","19.7","31.65","16.84","137.49","11.5","3.31","14.81","48.61","45.4","3.21","41.15","638.57","126.41","36.28","36.34","1.24","14.01","0.67","225.1","106.77","14.33","8.16","1.14","9.65","7.19","1.38","1.83","6.4","29.35","107.59","49.39","104.71","13.8","29.35","15.55","16.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503548","8.1","","0.24","NONE","2","22.64","30.68","16.01","132.39","11.5","3.17","14.67","49.55","47.4","2.15","43.78","640.1","120.52","35.85","28.46","1.29","16.71","0.61","215.68","88.69","17.1","8.27","1.09","10.95","5.06","1.1","1.05","6.51","30.74","111.55","52.53","109.55","13.8","30.74","16.94","17.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
