"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Regen Certified","Regen Score"
"76571","10/24/2022","10/26/2022","21364","8.7","","0.22","HIGH","1.9","29.45","19.3","14.2","173","4.35","1.19","5.54","15.78","12.5","3.28","373.34","2040.36","43.89","3.94","18.54","0.02","0.4","0.17","324.61","132.69","17.02","12.18","2.78","9.67","4.53","1.68","1.61","7.82","27.38","32.6","448.01","267.47","7.83","27.38","19.55","20.33","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","9.5"
"76571","10/24/2022","10/26/2022","21365","8.5","","0.4","HIGH","1.3","16.26","10.8","7.54","98","2.93","0.7","3.63","2.05","1.32","0.73","125.16","2534.37","27.9","2.14","55.91","0.01","0.09","0.06","328.09","235.32","16.59","13","2.31","5","2.54","0.36","0.36","4.34","15.54","3.87","150.19","93.03","5.27","15.54","10.27","10.68","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/24/2022","10/26/2022","21366","8.5","","0.35","HIGH","2.5","52.56","25.1","15.03","196","9.27","1.08","10.35","32.12","26.5","5.62","369.56","1854.12","52.54","4.59","31.05","0.02","0.65","0.26","378.91","143.79","26.82","13.04","1.49","15.03","0","4.52","1.1","10.68","45.68","71.36","443.47","302.06","16.69","45.68","28.99","30.15","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","13.78"
"76571","10/24/2022","10/26/2022","21367","8.4","","0.33","HIGH","1.3","22.91","11.2","8.1","105","2.13","1.76","3.89","3.24","2.03","1.21","155.85","1998.9","45.09","3.42","45.36","0.01","0.17","0.1","440.15","192.31","21.82","12.97","2.61","7.07","1.03","0.79","0.42","5.2","19.72","6.49","187.02","117.01","3.83","19.72","15.89","16.52","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/24/2022","10/26/2022","21368","8.6","","0.38","HIGH","2.7","38.26","48.5","14.69","227","32.9","1.24","34.14","37.3","31.9","5.4","468.13","1964.47","31.13","3.64","59.59","0.02","0.43","0.27","399.02","236.24","16.86","15.45","0.43","9.91","4.79","2.73","2.67","9.84","79.28","79.65","561.75","399.97","59.22","79.28","20.06","20.86","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","12.37"
"76571","10/24/2022","10/26/2022","21369","8.4","","0.58","HIGH","1.6","21.03","33.5","7.08","119","26","0.79","26.79","3.59","2.44","1.15","157.51","2098.66","37.57","2.9","82.36","0.01","0.2","0.09","425.1","319.11","17.68","16.8","0.27","5.01","2.08","0.61","0.54","5.19","57.24","7.01","189.01","157.26","46.8","57.24","10.44","10.86","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/24/2022","10/26/2022","21370","8.6","","0.54","HIGH","3.1","65.9","66.2","17.07","287","47.5","1.5","49","68.66","59.2","9.46","668.32","1787.88","27.72","4.57","46.47","0.02","0.68","0.37","444.67","210.7","22.96","16.81","0.35","15.68","1.39","6.51","2.94","14.04","116.42","151.14","801.98","591.59","85.5","116.42","30.92","32.16","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","15.61"
"76571","10/24/2022","10/26/2022","21371","8.4","","0.55","HIGH","1.7","29.16","28.8","13.2","156","14.7","1.01","15.71","4.35","3.17","1.18","271.19","2139.39","33.38","2.57","90.94","0.01","0.16","0.16","429.41","344.38","18.69","11.82","0.85","9.87","3.33","0.66","0.52","7.36","46.04","8.82","325.43","214.65","26.46","46.04","19.58","20.37","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/24/2022","10/26/2022","21372","8.8","","0.41","HIGH","2.3","30.44","39","17.39","230","19.4","1.35","20.75","135.88","121","14.88","699.24","1645.75","42.39","5.84","41.02","0.08","0.9","0.64","405.15","182.23","13.23","13.23","0.8","9.21","8.18","5.91","8.97","9.38","53.92","291.89","839.09","609.89","34.92","53.92","19","19.76","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","9.02"
"76571","10/24/2022","10/26/2022","21373","8.5","","0.59","HIGH","1.3","17.66","17.3","12.76","148","3.55","1.32","4.87","4.53","3.38","1.15","316.66","2092.95","35.2","2.67","91.65","0.01","0.13","0.14","398.84","382.37","11.93","11.6","2.81","6.09","6.67","0.41","0.74","6","19.73","8.72","379.99","214.53","6.39","19.73","13.34","13.87","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/24/2022","10/26/2022","21374","8.5","","0.51","HIGH","2.8","64.02","49.2","15.27","230","32.8","1.32","34.12","57.59","48.4","9.19","502.15","1992.69","28.76","3.19","67.14","0.02","0.31","0.32","488.58","235.66","27.83","15.06","0.45","15.27","0","7.68","1.52","12.53","88.9","128.98","602.58","453.08","59.04","88.9","29.86","31.06","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","14.11"
"76571","10/24/2022","10/26/2022","21375","8.4","","0.78","HIGH","1","20.23","54.6","8.32","155","45.7","0.81","46.51","8.45","6.12","2.33","424.48","2103.54","29.07","2.5","98.13","0.01","0.15","0.17","515.92","294.62","13.05","18.62","0.18","4.35","3.98","0.91","1.42","5.96","91.55","16.17","509.37","357.33","82.26","91.55","9.29","9.66","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/24/2022","10/26/2022","21376","8.4","","0.44","HIGH","1.2","44.9","70.7","12.88","164","57.1","1.94","59.04","14.46","11.3","3.16","240.77","1942.32","79.3","5.12","21.48","0.05","1.27","0.22","241.1","112.94","27.38","12.74","0.22","12.88","0","2.59","0.56","9.06","129.45","31.96","288.92","293.79","102.78","129.45","26.67","27.74","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","13.06"
"76571","10/24/2022","10/26/2022","21377","8.1","","0.59","HIGH","0.8","16.36","82.8","7.76","84","74.7","0.85","75.55","2.68","1.59","1.09","69.9","2490.46","35.96","2.05","21.11","0.01","0.2","0.03","371.9","102.08","19.48","10.82","0.1","6.05","1.71","0.64","0.45","4.09","146.88","5.12","83.87","197.05","134.46","146.88","12.42","12.91","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/24/2022","10/26/2022","21378","8.2","","0.47","HIGH","1.2","23.33","70.6","17.32","178","52.7","1.18","53.88","21.95","18.5","3.45","349.3","2101.85","64.67","4.1","20.14","0.02","1.01","0.14","239.11","106.39","13.11","10.28","0.32","9.08","8.24","1.36","2.09","7.63","113.33","45.67","419.15","348.45","94.86","113.33","18.47","19.21","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","10.77"
"76571","10/24/2022","10/26/2022","21379","8.2","","0.64","HIGH","1.2","13.81","71.5","8.59","90","62.3","0.85","63.15","2.06","1.63","0.43","87.22","2408.18","36.87","2.02","17.94","0.01","0.19","0.07","381.76","98.34","15.34","10.47","0.14","5.27","3.32","0.2","0.23","4.04","123.15","4.21","104.66","182.35","112.14","123.15","11.01","11.45","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
