"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Regen Score","Regen verified","MCC tons per acre"
"76571","3/15/2024","3/19/2024","6163","8.5","","0.34","HIGH","4","145.37","36.12","29.96","402.46","3.96","2.11","6.07","206.31","198","8.31","704.14","1675.06","31.73","6.39","20.82","0.01","1.51","0.59","495.57","130.25","36.12","13.43","4.86","29.96","0","8.31","0","23.16","64.85","474.52","844.97","708.22","7.13","64.85","57.73","60.04","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","34.7","Yes","9.2"
"76571","3/15/2024","3/19/2024","6164","8.6","","0.46","HIGH","1.6","30.26","31.51","20.72","329.28","8.59","2.91","11.5","21.98","20.1","1.88","661.13","1540.39","72.22","7.94","34.32","0.01","0.5","0.32","386.38","283.06","9.19","15.9","1.92","7.62","13.1","0.52","1.36","11.68","34.41","47.42","793.36","454.28","15.46","34.41","18.95","19.7","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6165","8.1","","0.41","HIGH","4.5","278.05","40.97","31.79","430.57","6.98","2.1","9.08","81.62","73","8.62","415.88","1927.2","28.75","7.16","19.74","0.01","0.95","0.22","481.96","88.14","64.58","13.54","3.46","31.79","0","8.62","0","31.65","73.57","187.72","499.06","412.39","12.56","73.57","61.01","63.45","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","20.1","Yes","6.0"
"76571","3/15/2024","3/19/2024","6166","8.3","","0.35","HIGH","1.9","47.07","21.87","18.01","292.46","2.36","2.65","5.01","11.93","9.6","2.33","377.43","2065.33","40.23","4.89","21.73","0.01","0.39","0.06","433.03","116.57","16.09","16.23","4.67","11.6","6.42","1.13","1.21","12.36","29.89","24.67","452.92","268.89","4.25","29.89","25.64","26.67","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6167","8.3","","0.31","HIGH","4.1","191.75","39.9","32.69","428.5","4.77","2.95","7.72","117.87","110","7.87","520.99","1994.56","24.27","5.79","16.65","0.01","1.08","0.16","471.67","81.9","44.75","13.11","4.53","32.69","0","7.87","0","27.82","72.74","271.1","625.19","512.95","8.59","72.74","64.15","66.72","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","26.3","Yes","7.6"
"76571","3/15/2024","3/19/2024","6168","8.3","","0.26","HIGH","2","61.03","28.42","24.48","335.83","1.88","2.69","4.57","73.46","67.4","6.06","462.48","1122.23","105.78","14.74","21.27","0.36","1.94","0.32","370.44","131.16","18.17","13.72","6.21","17.79","6.68","3.3","2.76","15.27","40.25","162.62","554.97","394.16","3.38","40.25","36.87","38.35","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6169","8.2","","0.36","HIGH","4","195.16","54.52","42.13","504.32","10.4","2.25","12.65","221.4","209","12.4","614.11","1180.12","71.04","13.69","24.24","0.91","3.27","0.52","482.07","100.81","38.7","11.97","3.4","42.13","0","12.4","0","30.56","98.6","509.21","736.94","705.25","18.72","98.6","79.88","83.07","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","19.5","Yes","6.2"
"76571","3/15/2024","3/19/2024","6170","8.3","","0.3","HIGH","1.9","67.08","31.2","25.35","332.29","3.87","3.44","7.31","47.07","42.8","4.27","279.11","1001.78","127.38","14.11","30","0.14","1.6","0.26","407.16","159.62","20.19","13.11","4.33","20.47","4.88","2.59","1.68","15.89","50","104.39","334.94","267.49","6.97","50","43.04","44.76","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6171","8.2","","0.27","HIGH","4.3","175.36","48.5","39.77","469.9","6.16","1.99","8.15","107.53","100","7.53","598.15","1841.1","25.3","5.4","18.3","0.01","0.91","0.16","459.62","98.67","37.32","11.82","4.56","39.77","0","7.53","0","27.99","86.25","247.31","717.77","562.35","11.09","86.25","75.16","78.17","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","32.2","Yes","8.3"
"76571","3/15/2024","3/19/2024","6172","8.2","","0.34","HIGH","2.1","68.98","35.2","26.52","347.77","6.88","2.92","9.8","9.45","7.76","1.69","431.32","2056.89","37.98","4.2","25.93","0.01","0.31","0.05","427.47","156.13","19.84","13.11","3.06","21.05","5.48","1","0.68","16.51","55.52","20.16","517.59","325.81","12.38","55.52","43.14","44.86","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6173","8.3","","0.33","HIGH","4.3","191.59","50.95","41.63","504.37","7.29","2.36","9.65","75.14","69","6.14","648.15","1839.97","26.94","4.85","19.72","0.01","0.66","0.12","447.77","85.89","37.99","12.11","4.47","41.63","0","6.14","0","30.22","92.31","172.83","777.78","564.4","13.12","92.31","79.19","82.36","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","13.1","Yes","3.9"
"76571","3/15/2024","3/19/2024","6174","8.2","","0.46","HIGH","2","58.59","28.64","21.85","301.16","5.13","2.77","7.9","4.55","3.98","0.57","237.98","2271.81","27.38","3.11","53.47","0.01","0.26","0.02","449.61","177.47","19.45","13.78","3.22","17.01","4.85","0.33","0.24","14.07","44.83","9.91","285.58","193.97","9.23","44.83","35.6","37.02","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6175","8.1","","0.34","HIGH","3.4","126.71","30.34","25.04","348.61","3.74","1.85","5.59","106.57","96.3","10.27","414.9","1242.95","91.49","18.22","14.66","0.64","4.17","0.15","310.75","60.06","36.35","13.92","4.73","25.04","0","10.27","0","20.04","55.14","245.11","497.88","419.04","6.73","55.14","48.41","50.34","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","9.4","Yes","2.9"
"76571","3/15/2024","3/19/2024","6176","8.1","","0.37","HIGH","2.3","61.6","25.43","17.12","270.97","7.3","2.35","9.65","4.1","3.18","0.92","153.7","1860.18","81.14","6.58","24.85","0.01","0.46","0.04","352.99","153.02","22.73","15.83","2.06","15.57","1.55","0.63","0.29","13.29","45.39","8.76","184.44","143.45","13.14","45.39","32.25","33.54","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6177","8.1","","0.29","HIGH","3.1","76.34","23.07","21.41","302.78","0.44","1.8","2.23","24.67","19.5","5.17","314.73","2014.23","57.21","5.86","15.6","0.01","1.07","0.01","311.69","70.49","25.21","14.14","12.94","21.41","0","3.91","1.26","15.83","42.57","53.85","377.68","257.88","0.78","42.57","41.79","43.46","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","7.3","Yes","3.0"
"76571","3/15/2024","3/19/2024","6178","8","","0.44","HIGH","2","57.92","14.15","12.63","230.64","0.33","1.81","2.14","2.72","2.2","0.52","94.96","2083.23","60.28","4.14","27.65","0.01","0.36","0.02","381.27","97.81","25.11","18.26","8.31","12.63","0","0.39","0.13","11.67","26.59","5.96","113.95","87.37","0.59","26.59","25.99","27.03","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6179","8.2","","0.35","HIGH","2.4","44.96","19.86","17.6","287.2","1.47","1.92","3.39","10.28","7.18","3.1","354.97","2334.56","32.14","3.42","13.64","0.01","0.43","0.01","324.68","69.93","15.65","16.32","7.79","11.02","6.58","1.46","1.65","12","25.94","19.87","425.97","249.1","2.65","25.94","23.29","24.23","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","9.6","Yes","4.1"
"76571","3/15/2024","3/19/2024","6180","8.2","","0.36","HIGH","1.7","52.76","12.5","10.46","173.85","1","2.31","3.31","2.4","2.09","0.31","121.98","2466.39","30.09","3.42","18.68","0.01","0.26","0.04","354.71","92.03","30.35","16.62","5.13","10.46","0","0.28","0.03","9.8","24.79","5.45","146.38","101.47","1.8","24.79","22.99","23.91","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6181","8.3","","0.39","HIGH","2.8","49.12","42.99","34.88","436.22","6.22","1.99","8.21","133.97","122","11.97","626.43","1614.29","74.87","12.26","17.59","0.12","2.43","0.29","337.18","98.63","11.26","12.5","4.3","15.71","19.17","4.04","7.93","17.12","43.06","289.9","751.72","554","11.2","43.06","31.86","33.14","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","25.1","Yes","6.0"
"76571","3/15/2024","3/19/2024","6182","8.1","","0.56","HIGH","1.8","56.53","33.41","20.94","276.29","10.9","1.88","12.78","6.98","5.82","1.16","221.02","2020.24","68.31","5.01","38.71","0.01","0.5","0.03","313.59","207.67","20.46","13.2","1.68","17.14","3.8","0.71","0.45","13.27","53.85","15.03","265.23","195.53","19.62","53.85","34.23","35.6","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6248","8.1","","0.3","HIGH","3","138.74","34.4","32.38","347.02","0.32","1","1.32","54.66","45.5","9.16","289.79","2319.22","14.02","3.94","11.28","0.01","0.5","0.06","420.84","46.06","39.98","10.72","16.03","32.38","0","9.16","0","21.74","60.66","125.71","347.75","294.79","0.58","60.66","60.08","62.48","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","28.2","Yes","7.0"
"76571","3/15/2024","3/19/2024","6183","8.4","","0.29","HIGH","1.2","29.85","16.24","14.02","238.39","0.35","2.51","2.86","5.06","4.03","1.03","351.59","2492.17","18.85","2.65","17.62","0.01","0.24","0.01","401.67","65.81","12.52","17","6.33","7.02","7","0.39","0.64","9.15","17.78","10.16","421.91","234.12","0.62","17.78","17.16","17.85","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6184","8.2","","0.36","HIGH","3.2","123.59","36.48","32.48","421.82","1.44","2.17","3.61","53.87","46.8","7.07","339.69","2129.32","20.83","4.3","20.43","0.01","0.61","0.06","421.87","65.12","29.3","12.99","8.12","32.48","0","6.22","0.86","21.98","64.96","121.94","407.62","327.46","2.59","64.96","62.37","64.86","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","25.4","Yes","6.2"
"76571","3/15/2024","3/19/2024","6185","8.4","","0.36","HIGH","1.4","25.46","26.83","16.52","245.98","8.19","2.82","11.01","5.69","4.8","0.89","356.56","2116.48","36.44","3.48","30.76","0.01","0.35","0.01","399.38","141.45","10.35","14.89","1.6","6.84","9.68","0.28","0.61","9.12","32.13","11.67","427.87","252.72","14.74","32.13","17.38","18.08","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6186","8.3","","0.3","HIGH","3.6","135.22","35.73","31.54","404.1","2.48","2.5","4.98","43","36.6","6.4","449.57","1973.7","25.05","5.88","15.65","0.01","0.6","0.14","482.24","74.82","33.46","12.81","7.53","31.54","0","6.4","0","22.5","65.73","98.89","539.48","383.59","4.46","65.73","61.27","63.72","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","22.9","Yes","5.4"
"76571","3/15/2024","3/19/2024","6187","8.3","","0.42","HIGH","1.9","46.01","19.77","15.79","250.4","2.47","2.65","5.12","2.86","2.64","0.22","334.83","2207.25","24.82","3.86","19.29","0.01","0.28","0.01","481.86","154.86","18.38","15.86","3.97","11.61","4.18","0.12","0.1","11.19","30.11","6.35","401.8","235.14","4.45","30.11","25.66","26.69","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6188","8.3","","0.41","HIGH","4.3","87.4","32.39","28.91","400.29","1.71","2.19","3.9","41.04","34.4","6.64","517.7","2077.73","16.88","3.45","15.66","0.01","0.49","0.1","558.66","78.79","21.83","13.84","8.31","25.25","3.66","4.35","2.29","19.64","52.48","89.12","621.24","406.19","3.08","52.48","49.4","51.37","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","16.9","Yes","4.8"
"76571","3/15/2024","3/19/2024","6189","8.4","","0.39","HIGH","2.2","43.68","21.91","16.4","252.31","4.51","3.02","7.53","2.58","2.46","0.12","382.62","2074.98","22.99","2.91","25.26","0.01","0.21","0.01","601.95","142.45","17.31","15.38","2.98","11.36","5.04","0.06","0.06","11.05","34","5.81","459.14","267.6","8.12","34","25.88","26.92","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6190","8.3","","0.47","HIGH","3.6","102.65","39.88","29.38","374.98","9.08","2.57","11.65","24.57","18.9","5.67","522.45","2104.49","12.13","2.77","23.33","0.01","0.45","0.09","521.13","112.65","27.38","12.76","2.8","29.38","0","4.66","1.01","18.99","73.85","54.18","626.93","415.19","16.34","73.85","57.5","59.8","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","33.1","Yes","8.7"
"76571","3/15/2024","3/19/2024","6191","8.2","","0.56","HIGH","2.1","42.22","34.04","17.23","254.97","15.7","3.19","18.89","2.93","2.52","0.41","374.4","2291.87","17.42","2.66","44.54","0.01","0.28","0.01","512.47","205.2","16.56","14.8","1.02","11.41","5.82","0.2","0.2","11.04","54.54","6.26","449.29","284.25","28.26","54.54","26.28","27.33","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6192","8.3","","0.38","HIGH","4.7","204.7","43.07","35.3","441.97","5.16","2.38","7.54","62.19","53.9","8.29","650.16","1995.25","16.24","3.77","17.97","0.01","0.53","0.12","538.8","83.1","46.32","12.52","4.54","35.3","0","8.29","0","26.99","77.11","143.05","780.19","536.09","9.29","77.11","67.82","70.53","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","6.1","No","2.6"
"76571","3/15/2024","3/19/2024","6193","8.4","","0.46","HIGH","2","36.25","27.77","19.01","268.72","7.78","2.62","10.4","4.85","4.04","0.81","506.74","2126.82","23.2","2.95","23.49","0.01","0.26","0.01","495.83","152.01","13.49","14.14","2.17","10.26","8.75","0.33","0.48","10.9","37.18","10.05","608.08","347.33","14","37.18","23.18","24.1","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6194","7.9","","0.41","HIGH","3.2","104.89","38.56","21.96","283.59","15.4","2.65","18.05","28.99","23.6","5.39","400","2299.79","42.23","3.98","15.08","0.01","0.76","0.01","296.3","28.17","36.99","12.92","1.32","21.96","0","5.39","0","16.61","72.01","66.69","480","345.57","27.72","72.01","44.29","46.06","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","9.3","Yes","2.6"
"76571","3/15/2024","3/19/2024","6195","7.9","","0.42","HIGH","2.5","81.44","36.37","16.12","218.26","19.2","2.68","21.88","5.29","3.65","1.64","150.71","2466.05","33.82","2.84","10.22","0.01","0.41","0.03","344.94","47.51","37.31","13.54","0.8","16.12","0","1.64","0","14.12","68.4","12.16","180.85","167.16","34.56","68.4","33.84","35.19","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6196","8","","0.25","HIGH","3.2","88.51","28.24","18.1","245.77","9.41","7.12","16.53","19.73","14.7","5.03","210.45","2193.4","63.03","4.83","5.64","0.01","0.91","0.01","285.13","10.51","36.01","13.58","1.78","18.1","0","5.03","0","15.58","62.33","45.37","252.54","211.96","16.94","62.33","45.39","47.21","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","9.1","Yes","2.6"
"76571","3/15/2024","3/19/2024","6197","8.1","","0.35","HIGH","2.3","65.73","24.54","11.46","182.91","12.3","3.37","15.67","3.01","2.32","0.69","85.89","2450.03","37.27","3.37","5.41","0.01","0.4","0.03","385.19","23.3","35.94","15.96","0.88","11.46","0","0.69","0","11.38","48.84","6.91","103.07","105.51","22.14","48.84","26.7","27.77","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6198","8","","0.3","HIGH","2.6","61.83","32.79","17.44","239.79","14.3","3","17.3","25.37","19.9","5.47","320.18","2473.15","43.91","5.14","6.81","0.01","0.66","0.02","180.98","11.28","25.78","13.75","1.14","17.44","0","4.23","1.24","12.72","62.54","55.5","384.21","282.67","25.74","62.54","36.8","38.27","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","22.3","Yes","6.0"
"76571","3/15/2024","3/19/2024","6199","8","","0.32","HIGH","1.8","39.79","32.3","11.18","176.34","20.2","3.75","23.95","4.17","3.15","1.02","143.22","2728.08","37.63","3.87","7.23","0.01","0.39","0.04","215.98","14.73","22.56","15.78","0.53","10.09","1.09","0.69","0.33","8.62","61.27","8.83","171.86","153.71","36.36","61.27","24.91","25.9","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
