"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Regen Certified 6.8 or >","Score"
"76571","5/9/2022","5/11/2022","5016","6.7","","0.14","NONE","3.2","27.1","17.73","11.37","146","3.64","2.72","6.4","236.5","215","21.5","80","716","213","75","6.33","3.2","7.7","0.78","109","23","18.6","12.8","1.79","8.44","2.93","12","9.5","6.8","26.6","522","95.4","315.6","6.6","26.6","20.1","20.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","0.77"
"76571","5/9/2022","5/11/2022","5017","6.8","","0.11","NONE","3.2","37.2","16.94","11.1","156","2.67","3.17","5.8","239.8","218","21.8","81","724","224","79","7.2","3.26","8.2","0.73","107","23","23.9","14","1.9","10.6","0.5","15.6","6.2","7.9","29.6","537.3","97.1","326.5","4.8","29.6","24.8","25.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5018","6.8","","0.12","NONE","2.9","21.8","16.11","9.88","158","3.24","2.99","6.2","50.9","46.3","4.6","66","561","187","57","5.18","0.67","3.6","0.94","93","6","13.8","16","1.59","5.44","4.44","1.9","2.7","6.3","21","110.9","79","112.4","5.8","21","15.2","15.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","2.65"
"76571","5/9/2022","5/11/2022","5019","7","","0.15","NONE","3","18","13.87","9.54","159","1.12","3.63","4.8","41.7","37.9","3.8","62","536","191","54","6.47","0.57","5.4","0.92","97","5","11.4","16.7","2.2","4.33","5.21","1.3","2.5","5.9","16.3","90.1","74.8","95.9","2","16.3","14.3","14.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5020","6.8","","0.14","NONE","3.5","23.8","16.18","10.15","153","3.04","2.99","6","33.3","30.3","3","51","482","199","81","7.37","0.55","5.1","0.66","103","6","15.6","15","1.68","6.33","3.82","1.4","1.6","6.5","22.3","73","61.1","87.3","5.5","22.3","16.8","17.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","1.88"
"76571","5/9/2022","5/11/2022","5021","6.9","","0.14","NONE","3.1","27.5","13.27","8.82","148","1.17","3.96","5.1","35.1","31.9","3.2","58","514","193","67","7.01","0.57","6.1","0.67","104","6","18.5","16.8","1.98","6.53","2.29","1.8","1.4","6.6","21","77.4","69.7","92.3","2.1","21","18.9","19.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5022","6.9","","0.14","NONE","3.4","24.4","15.67","11.14","126","1.76","2.77","4.5","34.7","31.5","3.2","25","692","151","78","6.08","1.06","8.1","0.64","118","12","19.4","11.3","2.46","8.64","2.5","1.8","1.3","6.1","23.7","76.7","30.1","75","3.2","23.7","20.5","21.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","2.72"
"76571","5/9/2022","5/11/2022","5023","7","","0.14","NONE","3.1","18.8","18.69","11.6","135","3.84","3.25","7.1","36.1","32.8","3.3","26","695","142","110","8.98","0.78","6.3","0.62","109","16","13.9","11.7","1.64","6.44","5.16","1.4","1.9","5.7","24.4","78.6","31.6","77.3","6.9","24.4","17.4","18.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5024","6.8","","0.18","NONE","3.1","26.8","21.28","12.32","135","5.62","4.1","9.7","119.9","109","10.9","68","607","215","111","9.43","1.34","6.1","1.01","87","36","19.8","11","1.38","9.77","2.55","6.5","4.4","6.6","35.1","265.6","81.9","199.6","10.1","35.1","25","25.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","2.62"
"76571","5/9/2022","5/11/2022","5025","6.8","","0.18","NONE","2.8","22","20.88","12.5","138","4.95","3.63","8.6","118.8","108","10.8","57","590","219","128","10.69","1.74","7","1.1","80","42","15.9","11.1","1.49","7.94","4.56","5.2","5.7","6.2","29.7","260.2","68.8","185.1","8.9","29.7","20.8","21.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5026","6.4","6.5","0.3","NONE","2.6","13.2","50.74","10.54","91","31.3","17.3","48.6","167.2","152","15.2","86","589","203","83","7.45","2.16","13.9","1","87","15","14.5","8.6","0.26","6.1","4.44","6.6","8.6","4.2","98.5","364.8","103.7","322.1","56.3","98.5","42.1","43.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","10% Legume 90% Grass","NOT YET","2.1"
"76571","5/9/2022","5/11/2022","5027","6.6","","0.22","NONE","2.7","11.5","37.2","11.66","95","20.7","8.03","28.7","182.6","166","16.6","74","626","210","84","7.32","2.05","14.6","1.03","96","18","12.1","8.2","0.46","5.64","6.02","6","10.6","4.2","61.9","395.7","89.1","290.9","37.3","61.9","24.6","25.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","60% Legume 40% Grass","",""
"76571","5/9/2022","5/11/2022","5028","6.8","","0.16","NONE","3","32.4","20.16","11.56","106","5.51","4.15","9.7","199.1","181","18.1","65","717","205","79","4.98","3.06","12.7","0.85","108","18","30.7","9.1","1.34","11.56","0","16.7","1.4","6.5","38.2","454.7","78","287.9","9.9","38.2","28.3","29.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","2.68"
"76571","5/9/2022","5/11/2022","5029","7","","0.17","NONE","2.8","32.4","14.3","8.83","100","1.96","3.92","5.9","152.9","139","13.9","66","877","170","73","5.36","2.82","13.8","0.82","109","18","32.4","11.3","1.61","8.83","0","13.5","0.4","6.1","26.5","350.8","79.3","228.5","3.5","26.5","23","23.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5030","6.8","","0.35","NONE","2.6","21.5","45.33","8.43","98","14.2","42.6","56.8","210.1","191","19.1","149","784","205","83","6.04","3.1","16.5","0.73","115","25","22.1","11.6","0.23","7.43","0.99","12.6","6.5","4.9","115.6","468.4","179.1","425.2","25.6","115.6","90.1","93.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","10% Legume 90% Grass","NOT YET","1.43"
"76571","5/9/2022","5/11/2022","5031","6.8","","0.23","NONE","2.7","22.7","31.77","10.07","94","11.7","14.8","26.5","205.7","187","18.7","88","768","206","82","6.71","3.06","15","0.74","114","18","24.1","9.4","0.46","9.72","0.35","13.5","5.2","5.2","65.2","461.2","105.1","332.5","21.1","65.2","44.1","45.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5032","6.9","","0.1","NONE","2.4","20.5","16.81","10.77","96","3.28","2.76","6","206.8","188","18.8","72","620","221","84","4.39","2.97","10.9","1.31","112","9","21.4","8.9","1.78","9.24","1.53","12.1","6.7","5","27.5","460.2","86.6","283.6","5.9","27.5","21.6","22.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","3.39"
"76571","5/9/2022","5/11/2022","5033","6.8","","0.14","NONE","2.4","13.1","17.39","10.31","94","4.48","2.6","7.1","201.3","183","18.3","72","672","213","76","4.6","3.4","10","1.34","116","9","13.9","9.1","1.46","5.74","4.57","7.7","10.7","4.2","23.1","438.5","86","268.7","8.1","23.1","15","15.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","60% Legume 40% Grass","",""
"76571","5/9/2022","5/11/2022","5034","6.7","","0.12","NONE","3.3","23.9","18.78","10.01","112","5.58","3.19","8.8","84.5","76.8","7.7","60","524","221","55","4.82","1.06","5.1","0.66","82","11","21.4","11.2","1.14","8.57","1.44","4.9","2.8","5.6","31.2","188","71.8","154.8","10","31.2","21.2","22.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","1.93"
"76571","5/9/2022","5/11/2022","5035","6.6","","0.12","NONE","2.5","22.1","22.82","11.76","112","8.45","2.61","11.1","83.7","76.1","7.6","97","497","222","55","7.21","1.22","7","0.65","74","11","19.8","9.5","1.06","9.3","2.46","4.5","3.1","5.6","36.7","185.4","116.8","181.8","15.2","36.7","21.4","22.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5036","6.6","","0.11","NONE","2.6","14.9","17.95","11.71","115","4.01","2.23","6.2","99.8","90.7","9.1","57","547","201","68","5.31","1.43","4.9","0.51","90","7","13","9.8","1.88","6.07","5.64","3.5","5.5","5","22.2","216.7","69","157.2","7.2","22.2","14.9","15.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","60% Legume 40% Grass","NOT YET","1.25"
"76571","5/9/2022","5/11/2022","5037","6.6","","0.12","NONE","2.6","20.2","17.24","11.26","121","3.04","2.94","6","92.7","84.3","8.4","62","584","196","66","7.11","1.29","5.2","0.41","94","7","16.7","10.7","1.88","7.53","3.73","4.2","4.2","5.6","24.3","203.6","73.8","155.9","5.5","24.3","18.9","19.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5038","6.7","","0.15","NONE","2.3","22.5","15.5","9.97","99","3.18","2.35","5.5","195.8","178","17.8","68","590","206","75","3.87","2.72","10.1","1.31","110","8","22.9","9.9","1.8","9.11","0.86","12.2","5.6","5.2","26.4","437.5","81","269.2","5.7","26.4","20.6","21.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","1.66"
"76571","5/9/2022","5/11/2022","5039","6.8","","0.12","NONE","2.3","26.1","16.54","9","98","4.01","2.65","6.7","182.6","166","16.6","72","661","208","75","4.78","2.85","10.3","1.3","107","8","26.5","10.9","1.19","9","0","13.2","3.4","5.5","28.2","412.2","86.5","262.2","7.2","28.2","21","21.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5040","6.7","","0.1","NONE","2.2","22.5","15.53","10.71","105","2.13","2.69","4.8","176","160","16","54","608","209","79","5.31","2.33","11.6","0.79","100","8","21.4","9.8","2.22","9.17","1.53","10.3","5.7","5.4","25.2","391.6","65","238.9","3.8","25.2","21.4","22.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","2.61"
"76571","5/9/2022","5/11/2022","5041","6.6","","0.09","NONE","2.1","18","15.13","10.26","116","1.29","3.58","4.9","165","150","15","56","553","213","85","6.53","2.19","22.1","0.85","92","9","15.4","11.4","2.11","6.33","3.93","6.9","8.1","5.2","20.2","361","66.9","220.5","2.3","20.2","17.8","18.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5042","6.7","","0.09","NONE","2.5","22.6","16.12","10.1","115","3.42","2.6","6","123.2","112","11.2","63","536","206","69","4.52","1.85","6.5","0.63","98","17","19.7","11.3","1.68","7.95","2.15","6.6","4.6","5.6","25.2","272.8","75.4","189.3","6.2","25.2","19","19.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","1.94"
"76571","5/9/2022","5/11/2022","5043","6.4","6.6","0.13","NONE","2.6","23.2","19.83","10.19","112","6.25","3.39","9.6","114.4","104","10.4","85","501","211","70","10.26","1.43","8.3","0.56","93","16","20.6","11","1.06","8.41","1.78","6.4","4","5.6","32.5","254","102.4","201.8","11.3","32.5","21.2","22.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5044","6.7","","0.11","NONE","2.4","29.7","17.67","11.3","125","3.52","2.85","6.4","35.8","32.5","3.3","45","541","188","46","5.59","2.38","7.4","0.38","54","7","23.8","11","1.77","10.76","0.54","2.3","0.9","6.6","30.8","80.1","54.1","96","6.3","30.8","24.5","25.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","2.67"
"76571","5/9/2022","5/11/2022","5045","6.5","6.7","0.12","NONE","2.7","24.9","18.75","11.51","125","4.79","2.45","7.2","30.9","28.1","2.8","53","469","189","43","5.58","1.08","6.8","0.32","54","6","19.8","10.9","1.59","9.13","2.38","1.7","1.1","6.1","29.5","68.5","63.1","93.7","8.6","29.5","20.9","21.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5046","6.6","","0.1","NONE","3.5","42.7","21.28","14.47","141","4.13","2.68","6.8","122.1","111","11.1","86","639","184","62","4.63","2.29","7.9","1.28","103","8","30.4","9.7","2.13","14.47","0","10.1","1","8.5","38.3","278.6","103.1","219.5","7.4","38.3","30.9","32.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","2.02"
"76571","5/9/2022","5/11/2022","5047","6.5","6.6","0.09","NONE","3.6","42.2","20.42","14.45","142","2.88","4.19","7.1","121","110","11","94","628","184","63","5.73","2.5","10","1.11","103","8","29.6","9.9","2.42","14.45","0","9.8","1.2","8.5","38.7","275.5","112.2","223.1","5.2","38.7","33.6","34.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5048","6.5","6.5","0.11","NONE","4.3","46.3","29.59","19.4","179","8.62","1.57","10.2","60.9","55.4","5.5","69","645","174","79","6.43","1.42","4.2","1.28","87","6","25.8","9.3","1.9","19.4","0","4.3","1.3","10.2","53.3","137.3","82.9","160","15.5","53.3","37.7","39.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","40% Legume 60% Grass","NOT YET","-1"
"76571","5/9/2022","5/11/2022","5049","6.4","6.5","0.14","NONE","3.8","74.8","29.89","18.3","169","9.91","1.68","11.6","55.4","50.4","5","60","680","175","79","7.61","1.21","3.9","1.24","87","7","44.4","9.2","1.58","18.3","0","5","0","12.7","53.8","127.5","71.7","150.5","17.8","53.8","36","37.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","40% Legume 60% Grass","",""
"76571","5/9/2022","5/11/2022","5050","6.4","6.5","0.12","NONE","5.1","127.9","30.71","20.97","189","8.08","1.66","9.7","47","42.7","4.3","44","723","139","99","5.37","1.63","2.7","1.2","115","11","67.7","9","2.15","20.97","0","4.3","0","16.5","55.3","108","52.7","133.5","14.5","55.3","40.7","42.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","30% Legume 70% Grass","NOT YET","2.9"
"76571","5/9/2022","5/11/2022","5051","6.3","6.5","0.15","NONE","5.5","116.7","33.51","20.96","194","10.2","2.35","12.6","51.9","47.2","4.7","69","737","133","98","6.25","1.98","3.2","1.21","122","12","60.3","9.2","1.67","20.96","0","4.7","0","15.7","60.3","119.4","82.5","158.9","18.4","60.3","42","43.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","30% Legume 70% Grass","",""
"76571","5/9/2022","5/11/2022","5052","6.5","6.6","0.16","NONE","5","166.1","25.69","18.47","167","4.97","2.25","7.2","150.7","137","13.7","102","729","164","92","6.34","2.65","6.9","1.16","132","8","99.3","9.1","2.56","18.47","0","13.7","0","19","46.2","346.6","122.6","268.8","9","46.2","37.3","38.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","30% Legume 70% Grass","YES","8.72"
"76571","5/9/2022","5/11/2022","5053","6.6","","0.15","NONE","4.7","83.2","26.45","17.42","164","6.69","2.34","9","137.5","125","12.5","66","783","168","99","6.22","1.99","6.4","1.11","147","11","50.7","9.4","1.93","17.42","0","12.5","0","13.4","47.6","316.3","78.9","234.4","12","47.6","35.6","36.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","40% Legume 60% Grass","",""
