"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Regen Certified","Score"
"76571","10/12/2022","10/14/2022","18675","8.24","","0.22","HIGH","2","19.28","28.26","23.59","208.28","2.64","2.13","4.77","8.1","7.36","0.74","141.3","2373.88","26.4","3.22","10.7","0.03","0.37","0.04","295.42","40.79","9.26","8.83","5.05","8.74","14.86","0.2","0.53","8.45","24.31","17.4","169.56","118.07","4.75","24.31","19.56","20.34","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","11.89"
"76571","10/12/2022","10/14/2022","18676","8.19","","0.27","HIGH","1.4","9.45","18.14","10.77","107.1","5.3","2","7.3","2.62","2.38","0.24","46.45","2615.38","27.42","3.26","21.96","0.01","0.14","0.04","295.39","78.56","8.83","9.95","1.46","3.8","6.97","0.06","0.17","4.16","19.98","5.62","55.74","51.24","9.54","19.98","10.44","10.86","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18677","8.15","","0.47","HIGH","2.2","21.21","20.09","16.02","183.17","2.15","1.86","4.01","3.26","2.96","0.3","95.36","2533.72","23.17","3.1","37.48","0.01","0.18","0.03","361.73","101.79","11.58","11.43","3.94","7.42","8.6","0.1","0.19","7.39","20.57","7.04","114.43","81.85","3.87","20.57","16.7","17.37","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","10.3"
"76571","10/12/2022","10/14/2022","18678","8.21","","0.37","HIGH","1.5","9.28","11.03","7.68","99.22","1.21","2.04","3.25","2.63","2.39","0.24","43.59","2619.14","25.47","2.29","28.88","0.01","0.1","0.03","320.79","97.62","9.35","12.91","2.29","2.87","4.81","0.07","0.17","3.68","11.02","5.65","52.31","40.22","2.18","11.02","8.84","9.2","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18679","8.19","","0.35","HIGH","2.3","19.39","22.54","14.41","161.75","5.26","2","7.26","3.77","3.43","0.34","104.37","2070.04","43.02","4.69","26.17","0.04","0.47","0.08","379.32","76.42","11.99","11.22","1.77","6.91","7.5","0.12","0.22","6.62","25.51","8.17","125.24","92.91","9.47","25.51","16.04","16.68","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","NOT YET","6.75"
"76571","10/12/2022","10/14/2022","18680","8.17","","0.32","HIGH","1.7","11.36","13.66","8.92","104.34","2.59","1.98","4.57","2.62","2.38","0.24","47.09","2541.62","27.15","2.49","28.64","0.01","0.09","0.04","332.96","91.3","10.88","11.7","1.88","3.88","5.04","0.08","0.16","4.11","15.21","5.65","56.51","46.68","4.66","15.21","10.55","10.97","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18681","8.22","","0.44","HIGH","2.3","31.06","21.3","14.39","174.46","4.56","2.23","6.79","3.03","2.75","0.28","113.19","2470.63","23.14","3.55","27.58","0.01","0.21","0.05","327.58","82.47","17.8","12.12","2.08","10.25","4.14","0.15","0.13","8.03","30.67","6.66","135.83","102.88","8.21","30.67","22.46","23.36","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","11.29"
"76571","10/12/2022","10/14/2022","18682","8.2","","0.34","HIGH","1.7","11.37","11.3","7.15","96.88","1.96","2.15","4.11","2.54","2.31","0.23","43.25","2690.69","19.98","3.18","39.5","0.01","0.13","0.04","263.37","97.5","11.74","13.55","1.72","3.36","3.79","0.08","0.15","3.79","13.44","5.5","51.9","42.45","3.53","13.44","9.91","10.31","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18683","8.03","","0.47","HIGH","1.9","25.85","19.46","15.04","174.73","2.33","1.98","4.31","2.87","2.61","0.26","84.87","2020.98","49.1","5.05","29.6","0.02","0.23","0.07","391.85","92.06","14.79","11.62","3.4","8.9","6.14","0.12","0.15","7.58","23.77","6.27","101.85","78.53","4.19","23.77","19.58","20.36","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","12.34"
"76571","10/12/2022","10/14/2022","18684","8.19","","0.4","HIGH","1.4","9.28","10.12","5.91","90.27","1.76","2.31","4.07","2.61","2.37","0.24","54.09","2570.71","28.04","2.57","30.49","0.01","0.09","0.05","340.38","90.69","10.28","15.26","1.4","2.43","3.48","0.07","0.16","3.32","11.7","5.62","64.91","47.21","3.17","11.7","8.53","8.87","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18685","8.04","","0.65","HIGH","2","46.82","38.45","22","230.52","14.7","2.15","16.85","5.3","4.82","0.48","140.55","2138.81","46.11","4.5","34.57","0.02","0.3","0.07","349.67","113.23","20.31","10.48","1.34","17.87","4.13","0.29","0.19","11.49","62.5","11.76","168.66","154.74","26.46","62.5","36.04","37.48","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","20.64"
"76571","10/12/2022","10/14/2022","18686","8.11","","0.52","HIGH","1.3","10.01","25.24","8.78","108.93","14.3","1.86","16.16","2.61","2.37","0.24","40.85","2609.13","30.58","2.28","34.99","0.01","0.11","0.06","327.48","105.37","9.19","12.41","0.53","3.22","5.55","0.07","0.17","4.06","34.89","5.6","49.02","63.37","25.74","34.89","9.15","9.52","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18687","8.08","","0.5","HIGH","1.7","24.77","38.98","20.77","214.92","15.4","2.11","17.51","5.48","4.98","0.5","129.73","2095.22","44.04","3.74","28.65","0.03","0.32","0.09","370.31","95.6","11.52","10.35","1.14","9.57","11.2","0.17","0.33","8.85","48.75","11.85","155.67","133.99","27.72","48.75","21.03","21.87","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","11.33"
"76571","10/12/2022","10/14/2022","18688","8.08","","0.54","HIGH","1.3","17.13","29.37","8.26","111.74","19.8","1.91","21.71","2.57","2.34","0.23","48.16","2523.06","33.76","2.25","40.01","0.01","0.13","0.06","380.61","128.38","15.33","13.53","0.39","5.07","3.19","0.11","0.13","4.77","48.2","5.63","57.79","81.61","35.64","48.2","12.56","13.06","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18689","8.06","","0.57","HIGH","2","31.74","37.05","21.15","218.26","14.3","2.2","16.5","26.9","21.9","5","151.14","1261.06","104.31","8.42","32.55","0.34","0.88","0.26","375.3","108.53","14.54","10.32","1.33","12.3","8.84","2.18","2.82","9.65","51.85","55.39","181.37","170.08","25.74","51.85","26.11","27.15","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","17.88"
"76571","10/12/2022","10/14/2022","18690","8.11","","0.52","HIGH","1.4","10.38","27.55","8.14","105.77","18","1.91","19.91","2.63","2.39","0.24","61.93","2339.11","40.79","2.25","26.2","0.01","0.14","0.08","399.58","101.65","9.81","12.99","0.42","3.2","4.94","0.07","0.17","3.97","41.59","5.66","74.32","83.01","32.4","41.59","9.19","9.56","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18691","8.41","","0.29","HIGH","2.1","22.88","28.8","19.54","202.92","5.94","2.86","8.8","152.9","139","13.9","287.77","1766.52","37.94","5.44","14.76","0.22","1.16","0.14","348.68","70.72","11.27","10.39","2.11","8.81","10.73","4.7","9.2","8.3","31.7","330.51","345.33","357.67","10.69","31.7","21.01","21.85","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","11.87"
"76571","10/12/2022","10/14/2022","18692","8.4","","0.5","HIGH","1.1","10.2","17.46","11.01","138.21","3.58","2.79","6.37","4.29","3.9","0.39","147.57","2116.73","32.68","2.76","43.83","0.01","0.21","0.08","366.93","151.49","7.38","12.56","1.71","3.25","7.76","0.09","0.3","4.89","17.32","9.17","177.09","110.77","6.44","17.32","10.87","11.31","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18693","8.46","","0.4","HIGH","2.5","44.66","27.95","21.86","225.95","3.2","2.36","5.56","10.82","9.84","0.98","216.78","2086.42","28.79","2.88","22.01","0.02","0.32","0.06","402.75","112.27","19.77","10.34","3.59","17.29","4.58","0.58","0.4","11.17","41.12","23.97","260.14","183.87","5.76","41.12","35.36","36.78","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","16.09"
"76571","10/12/2022","10/14/2022","18694","8.19","","0.75","HIGH","1.5","16.28","12.6","9.06","119.53","1.46","1.88","3.34","2.61","2.37","0.24","61.91","2450.94","30.55","2.15","94.31","0.01","0.11","0.05","393.67","205.57","13.62","13.2","2.56","4.94","4.12","0.1","0.14","4.92","14.9","5.67","74.29","55.25","2.63","14.9","12.27","12.76","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18695","8.47","","0.37","HIGH","2.2","26.07","26.04","21.26","247.59","1.92","2.49","4.41","27.83","25.3","2.53","313.25","2152","19.71","3.13","19.41","0.03","0.52","0.13","374.37","83.62","10.53","11.65","4.45","8.95","12.31","0.8","1.73","9.69","24.06","60.03","375.9","240.58","3.46","24.06","20.6","21.42","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","12.98"
"76571","10/12/2022","10/14/2022","18696","8.31","","0.62","HIGH","1.3","9.89","13.77","10.45","140.79","0.9","2.1","3","3.01","2.74","0.27","143.73","2452.9","24.11","2.53","75.47","0.01","0.15","0.03","349.5","196","7.02","13.47","3.15","2.94","7.52","0.06","0.22","4.85","10.68","6.43","172.47","100.31","1.62","10.68","9.07","9.43","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18697","8.44","","0.41","HIGH","2.8","32.66","25.99","21.6","247.62","1.75","2.41","4.16","33.66","30.6","3.06","326.38","2103.98","22.61","3.33","28.64","0.02","0.42","0.13","410.25","100.11","13.19","11.46","4.92","11.4","10.2","1.21","1.85","10.38","28","73.17","391.65","258.6","3.15","28","24.85","25.85","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","12.43"
"76571","10/12/2022","10/14/2022","18698","8.24","","0.75","HIGH","1.2","15.19","13.2","9.85","153.15","0.68","2.4","3.08","2.96","2.69","0.27","153.07","2269.13","28.46","2.68","93.77","0.02","0.2","0.07","372.62","247.66","9.92","15.54","2.94","3.91","5.94","0.08","0.19","5.57","12.58","6.37","183.68","107.85","1.22","12.58","11.36","11.81","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18699","8.42","","0.49","HIGH","3.4","88.94","42.32","28.62","300.28","10.7","2.3","13","66.44","60.4","6.04","365.78","1952.29","24.61","4.15","30.71","0.05","0.55","0.2","459.09","127.89","29.62","10.49","2.09","28.62","0","5.37","0.67","17.76","74.92","151.26","438.93","366.96","19.26","74.92","55.66","57.88","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","27.76"
"76571","10/12/2022","10/14/2022","18700","8.39","","0.56","HIGH","1.7","14.93","18.13","14.02","169.4","3.5","2.03","5.53","3.32","3.02","0.3","179.39","2216.13","26.72","2.42","70.99","0.01","0.12","0.11","418.22","274.46","8.81","12.08","3.41","4.94","9.08","0.08","0.22","6.28","18.85","7.13","215.27","130.52","6.3","18.85","12.55","13.05","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18701","8.23","","0.5","HIGH","4.6","117.96","62.77","21.4","287.18","36.6","2.77","39.37","159.5","145","14.5","451.4","1503.49","52.26","10.69","24.72","0.77","1.76","0.52","470.53","103.98","41.08","13.42","0.52","21.4","0","14.5","0","17.71","109.38","366.85","541.67","553.34","65.88","109.38","43.5","45.24","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","27.25"
"76571","10/12/2022","10/14/2022","18702","8.39","","0.47","HIGH","1.5","14.59","25.27","14.38","160.93","8.88","2.59","11.47","21.22","18.5","2.72","285.16","1070.77","117.25","11.27","54.04","0.15","0.98","0.45","407.67","219.3","9.06","11.19","1.32","5.21","9.16","0.74","1.98","6.11","30.03","44.25","342.19","222.68","15.98","30.03","14.04","14.6","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18703","8.41","","0.58","HIGH","3.9","62.69","51.16","20.78","257.1","25.4","2.68","28.08","227.7","207","20.7","572.6","1578.62","43.87","8.85","50.74","0.47","2.24","0.35","465.9","145.19","24.38","12.37","0.68","20.27","0.51","15.14","5.56","13.49","87.03","510.93","687.12","669.1","45.72","87.03","41.31","42.96","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","15.1"
"76571","10/12/2022","10/14/2022","18704","8.22","","0.85","HIGH","1.6","17.96","30.87","16.57","185.55","11.4","2.5","13.9","8.91","8.1","0.81","305.83","1901.25","46.25","3.79","97.12","0.02","0.24","0.1","367.34","282.85","9.68","11.2","1.16","6.42","10.15","0.24","0.57","7.16","36.57","19.17","367","230.35","20.52","36.57","16.05","16.69","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18705","8.3","","0.53","HIGH","3.8","70.37","46.17","20.64","268.67","23.2","2.83","26.03","67.87","61.7","6.17","364.39","1820.04","33.79","5.74","34.08","0.08","0.85","0.22","455.49","123.6","26.19","13.01","0.81","20.64","0","4.85","1.32","14.48","84.01","153.06","437.26","376.41","41.76","84.01","42.25","43.94","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","16.11"
"76571","10/12/2022","10/14/2022","18706","8.29","","0.57","HIGH","1.9","16.82","24.23","15.97","184.62","5.86","2.38","8.24","6.68","6.07","0.61","227.08","1912.03","47.1","5.2","59.8","0.03","0.34","0.11","387.63","207.01","9.11","11.56","1.93","5.82","10.15","0.17","0.44","6.97","25.31","14.34","272.49","169.16","10.55","25.31","14.76","15.35","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18707","8.1","","0.45","HIGH","2.1","25.48","13.14","8.55","131.84","2.39","2.02","4.41","3.53","3.21","0.32","81.94","2132.26","46.47","3.78","27.08","0.01","0.23","0.03","315.02","75.87","19.33","15.42","1.86","6.61","1.94","0.19","0.13","6.04","19.84","7.81","98.33","73.39","4.3","19.84","15.54","16.16","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","9.13"
"76571","10/12/2022","10/14/2022","18708","8.2","","0.58","HIGH","1.7","10.29","7.73","3.84","76.44","1.85","2.04","3.89","2.87","2.61","0.26","65.88","2149.1","32.97","2.58","12.72","0.01","0.14","0.02","494.56","74.18","13.46","19.92","0.99","2.07","1.77","0.11","0.16","2.94","10.72","6.25","79.06","53.55","3.33","10.72","7.39","7.69","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18709","8.35","","0.36","HIGH","1.8","18.53","14.64","5.42","94.4","7.04","2.18","9.22","2.75","2.5","0.25","94.18","2345.19","28.8","3.51","15.55","0.01","0.24","0.03","380.04","50.5","19.63","17.42","0.59","4.26","1.16","0.15","0.1","4.28","24.26","6.09","113.01","84.53","12.67","24.26","11.58","12.05","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","NOT YET","5.78"
"76571","10/12/2022","10/14/2022","18710","8.43","","0.33","HIGH","1.5","7.83","7.3","3.74","66.22","1.55","2.01","3.56","2.75","2.5","0.25","56.25","2042.43","24.98","2.66","6.71","0.01","0.21","0.04","589.51","36.77","11.82","17.68","1.05","1.77","1.97","0.09","0.16","2.48","9.6","5.95","67.5","46.47","2.79","9.6","6.81","7.08","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18711","8.04","","0.82","HIGH","2","14.5","28.24","7.32","134.57","20.8","2.22","23.02","6.35","5.77","0.58","142.93","1837.86","72.79","5.59","41.67","0.06","0.53","0.14","301.9","114.43","10.77","18.37","0.35","3.16","4.17","0.19","0.39","4.87","47.12","13.7","171.52","141.06","37.44","47.12","9.68","10.06","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","NOT YET","5.51"
