"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Regenerative Certified","Score"
"76571","10/18/2022","10/20/2022","19232","8.16","","0.01","HIGH","2.3","24.42","49.17","33.63","336.6","13.6","1.94","15.54","168.27","160","8.27","439.65","683.91","68.3","30.69","26.58","2.23","4.92","1.49","291.53","86.08","7.25","10.01","2.16","9.76","23.87","1.8","6.47","12.54","45.54","372.14","527.59","482.34","24.48","45.54","21.06","21.9","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","9.64"
"76571","10/18/2022","10/20/2022","19233","8.19","","0.02","HIGH","1.4","15.6","36.57","23.28","214.82","11.9","1.39","13.29","34.74","32.5","2.24","292.91","1854.53","38.12","10.34","85.05","0.25","0.78","0.31","358.75","170.71","7.26","9.23","1.75","6.76","16.52","0.49","1.75","8.18","36.1","75.87","351.49","248.18","21.42","36.1","14.68","15.26","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19234","8.07","","0.6","HIGH","1.9","17.35","72.08","33.53","360.44","37","1.55","38.55","200.73","187","13.73","495.15","613.45","76.86","29.17","107.6","2.75","7.67","3.85","297.52","160","4.81","10.75","0.87","6.46","27.08","1.98","11.75","12.3","81.01","434.66","594.18","581.28","66.6","81.01","14.41","14.99","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","7.39"
"76571","10/18/2022","10/20/2022","19235","8.03","","0.62","HIGH","1.1","9.94","59.02","25.93","265.72","31.2","1.89","33.09","98.07","91.3","6.77","437.67","444.79","100.39","27.51","169.42","1.14","5.09","2.19","252.47","171.09","3.74","10.25","0.78","3.88","22.05","0.76","6.01","8.9","66.55","211.74","525.2","429.21","56.16","66.55","10.39","10.8","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19236","8.15","","0.79","HIGH","2.6","30.14","85.77","27.58","313.3","56.5","1.69","58.19","253.52","238","15.52","746.04","1573.78","37.53","26.03","228.89","1.94","7.81","2.37","381.76","282.56","9.62","11.36","0.47","10.61","16.97","4.48","11.04","12.04","123.84","557.7","895.25","832.96","101.7","123.84","22.14","23.03","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","16.87"
"76571","10/18/2022","10/20/2022","19237","8.37","","2.33","HIGH","0.7","8.25","30.58","18.44","150.01","10.4","1.74","12.14","109.88","105","4.88","523.62","758.4","80.41","67.78","554.94","1.28","20.39","2.66","290.45","569.46","5.5","8.13","1.52","4.06","14.39","0.81","4.08","5.67","29.16","243.35","628.35","456.44","18.72","29.16","10.44","10.85","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19238","7.95","","0.46","HIGH","2.5","23.93","53.9","28.31","289.24","24.3","1.29","25.59","319.69","293","26.69","571.85","690.97","76.41","45.83","67.9","5.52","10.93","10.43","289.18","116.84","8.27","10.22","1.11","9.37","18.94","6.62","20.07","11.01","62.93","689.14","686.22","725.56","43.74","62.93","19.19","19.95","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","7.49"
"76571","10/18/2022","10/20/2022","19239","8.43","","0.38","HIGH","0.8","8.88","41.66","23.79","240.08","15.7","2.17","17.87","141.1","136","5.1","653.12","397.99","110.66","58.64","38.83","1.27","10.82","3.5","184.31","121.12","3.7","10.09","1.33","3.52","20.27","0.57","4.53","8.07","38.5","314.1","783.75","576.4","28.26","38.5","10.24","10.65","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19240","7.81","","0.65","HIGH","2","34.13","49.33","27.93","280.61","20.1","1.3","21.4","147.23","139","8.23","352.18","783.16","62.55","20.69","268.5","1.66","6.83","0.96","321.04","192.63","12.16","10.05","1.31","13.59","14.34","3","5.23","11.82","62.97","326.61","422.62","427.04","36.18","62.97","26.79","27.87","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","13.5"
"76571","10/18/2022","10/20/2022","19241","7.97","","1.17","HIGH","1","12.05","21","16.88","160.46","3.78","0.34","4.12","31.8","28.1","3.7","419.58","2092.36","47.07","5.82","543.7","0.21","1.11","0.19","289.65","281.68","7.51","9.51","4.09","5.07","11.81","0.83","2.86","6.1","16.55","66.55","503.49","299.57","6.8","16.55","9.75","10.14","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19242","8.11","","0.42","HIGH","2.6","36.73","106.3","59.37","501.59","42.8","4.13","46.93","215.12","201","14.13","670.1","835.1","64.34","26.29","69.17","2.37","5.02","2.32","322.58","143.76","7.32","8.45","1.27","17.39","41.98","3.1","11.02","19.64","115.77","469.44","804.12","738.4","77.04","115.77","38.73","40.28","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","17.97"
"76571","10/18/2022","10/20/2022","19243","8.39","","0.53","HIGH","1","12.42","55.8","34.22","311.64","19","2.58","21.58","80.94","76.6","4.34","578.03","971.44","68.38","16.16","95.49","0.57","1.82","0.84","268.31","198.1","3.99","9.11","1.59","5.46","28.76","0.52","3.82","10.9","48.66","177.37","693.63","479.02","34.2","48.66","14.46","15.04","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19244","8.09","","0.27","HIGH","2.1","24.92","46.13","17.35","232.18","23","5.78","28.78","63.28","58.4","4.88","427","2185.81","23.01","9.41","266.64","0.15","2.36","0.22","449.28","253.64","10.74","13.38","0.6","7.45","9.9","1.57","3.31","8.87","65.21","137.94","512.4","387.47","41.4","65.21","23.81","24.76","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","13.72"
"76571","10/18/2022","10/20/2022","19245","8.17","","0.31","HIGH","0.7","5.32","16.95","12.59","115.06","3.54","0.82","4.36","6.95","5.65","1.3","220.28","2400.32","26.76","4.55","243.98","0.02","1.16","0.06","382.17","265.5","4.63","9.14","2.89","2.33","10.26","0.18","1.12","4.09","12.05","13.41","264.34","150.87","6.37","12.05","5.68","5.9","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19246","8.15","","0.19","HIGH","2","24.09","43.31","25.87","320.87","15.2","2.24","17.44","204.75","190","14.75","380.87","1683.09","34.24","13.26","127.39","2.11","2.46","1.42","357.51","150.76","7.51","12.41","1.48","7.77","18.1","3.32","11.43","11.41","45.37","444.64","457.05","480.24","27.36","45.37","18.01","18.73","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","8.65"
"76571","10/18/2022","10/20/2022","19247","8.26","","0.37","HIGH","0.9","12.65","43.33","18.37","220.67","23","1.96","24.96","96.26","90.9","5.36","223.87","1701.43","36.42","10.36","174.11","1.27","1.63","0.6","338.75","194.59","5.73","12.01","0.74","4.21","14.16","0.92","4.44","7.52","52.51","211.19","268.65","286.08","41.4","52.51","11.11","11.55","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19248","8.24","","0.22","HIGH","2.1","28.97","59.73","25.01","307.46","32.9","1.82","34.72","133.01","125","8.01","485.54","1646.83","32.77","15.77","71.12","1.87","2.42","1.64","355.44","137.24","9.42","12.29","0.72","9.42","15.59","2.26","5.75","11.55","79.46","292.71","582.65","508.61","59.22","79.46","20.24","21.05","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","11.47"
"76571","10/18/2022","10/20/2022","19249","8.35","","0.42","HIGH","1","12.18","58.14","15.24","191.4","39","3.9","42.9","32.5","30.2","2.3","322.12","2116.17","28.2","7.96","192.84","0.13","0.65","0.28","380.64","279.23","6.36","12.56","0.36","3.88","11.36","0.44","1.86","6.57","84.2","70.47","386.54","313.26","70.2","84.2","14","14.56","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19250","8.05","","0.32","HIGH","2.2","33.53","142.9","28.28","441.27","113","1.62","114.62","132.15","120","12.15","669.03","807.09","60.74","19.11","60.4","1.78","6.9","0.6","239.43","199.98","7.6","15.6","0.25","8.6","19.68","2.77","9.38","15.01","221.79","282.37","802.83","761.97","203.4","221.79","18.39","19.12","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","NOT YET","6.73"
"76571","10/18/2022","10/20/2022","19251","8.05","","0.3","HIGH","1.6","32.76","126.16","26.76","294.12","97.9","1.5","99.4","76.07","70.5","5.57","386.77","1158.84","48.56","13.88","81.73","1.06","3.7","0.31","243.03","200.51","11.14","10.99","0.27","11.92","14.84","1.86","3.71","11.83","200.38","166.43","464.12","517.01","176.22","200.38","24.16","25.13","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19252","8.21","","0.1","HIGH","2.8","52.13","55.1","38.09","396.67","14.8","2.21","17.01","171.16","160","11.16","521.01","1131.06","48.67","22.93","45.22","1.94","3.17","2.76","304.16","116.58","13.14","10.41","2.24","20.02","18.07","4.4","6.76","16.96","66.66","378.12","625.21","555.87","26.64","66.66","40.02","41.62","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","19.63"
"76571","10/18/2022","10/20/2022","19253","8.26","","0.22","HIGH","1.3","11.98","27.49","21.82","234.06","3.82","1.85","5.67","72.78","68","4.78","263.2","914.76","66.04","19.38","121.72","0.79","2.53","0.31","280.64","165.48","5.12","10.73","3.85","4.47","17.35","0.73","4.04","8.06","18.25","158.09","315.84","249.62","6.88","18.25","11.37","11.83","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19254","7.87","","0.32","HIGH","2.6","56.78","63.79","34.16","408.38","28","1.63","29.63","163.28","152","11.28","530.06","581.55","72.76","31.15","37.94","1.91","9.38","0.45","228.55","85.4","13.9","11.95","1.15","19","15.16","4.71","6.58","17.26","87.53","360.42","636.08","574.86","50.4","87.53","37.13","38.61","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","19.55"
"76571","10/18/2022","10/20/2022","19255","8.19","","0.18","HIGH","1","19.36","27.09","21.1","223.7","4.2","1.79","5.99","49.64","46.6","3.04","319.36","378.98","128.74","28.84","33.64","0.32","6.42","0.33","177.65","83.45","8.66","10.6","3.52","7.31","13.79","0.79","2.25","8.52","23.93","108.99","383.23","266.64","7.56","23.93","16.37","17.03","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19256","7.76","","0.8","HIGH","1.7","19.41","38.82","13.88","151.79","24.1","0.84","24.94","110.15","103","7.15","398.31","1410.7","41.86","56.47","492.04","2.51","19.31","2.35","315.43","110.52","12.79","10.93","0.56","7.1","6.78","2.74","4.41","6.37","57.67","243.21","477.97","410.84","43.38","57.67","14.29","14.87","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","NOT YET","3.33"
"76571","10/18/2022","10/20/2022","19257","7.81","","0.85","HIGH","1.1","14.5","25.81","14.41","127.22","10.9","0.5","11.4","71.7","66.5","5.2","338.43","1289.26","49.09","55.76","505.03","1.44","14.93","1.61","279.85","115.1","11.39","8.83","1.26","6.57","7.84","1.78","3.42","5.44","32.34","157.03","406.12","308.93","19.62","32.34","12.72","13.23","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19278","8.05","","0.45","HIGH","3.3","85.31","85.5","18.69","319.63","65.5","1.31","66.81","44.86","41","3.86","343.15","2545.74","22","5.23","86.19","0.07","0.38","1.18","379.44","130.57","26.69","17.1","0.28","18.69","0","3.09","0.77","16.79","153.9","101.41","411.78","412.6","117.9","153.9","36","37.44","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","37.77"
"76571","10/18/2022","10/20/2022","19279","8.05","","0.79","HIGH","1.3","8.43","68.3","15.13","118.78","52.9","0.27","53.17","5.98","4.78","1.2","47.54","2920.07","21.9","2.82","352.9","0.02","0.18","0.19","508.28","229.55","7.1","7.85","0.28","4.3","10.84","0.26","0.94","4.73","103.43","11.58","57.04","141.42","95.22","103.43","8.21","8.54","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19280","8.26","","0.39","HIGH","2.3","25.67","36.52","22.89","230.2","12.6","1.03","13.63","35.09","31","4.09","264.49","2504.13","20.22","4.31","58.5","0.05","0.36","0.21","343.2","86.69","11.15","10.06","1.68","10.21","12.68","1.37","2.72","9.46","42.91","74.44","317.39","237.56","22.68","42.91","20.23","21.04","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","14.74"
"76571","10/18/2022","10/20/2022","19281","8.17","","0.4","HIGH","1.4","9.87","14.61","10.87","107.65","3.21","0.52","3.73","11.76","10","1.76","68.04","2505.32","24.43","2.8","126.16","0.02","0.21","0.09","448.09","111.8","9.17","9.9","2.91","3.99","6.89","0.48","1.27","4.23","13.9","24.11","81.65","66.37","5.78","13.9","8.12","8.44","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19282","7.95","","0.19","HIGH","3.8","134.72","61.41","26.57","278.01","33.3","1.54","34.84","47.81","41.9","5.91","300.32","2573.13","18.04","13.34","93.49","0.1","1.02","0.21","322.01","57.8","48.46","10.46","0.76","26.57","0","5.91","0","19.44","110.53","109.97","360.38","345.73","59.94","110.53","50.59","52.62","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","32.15"
"76571","10/18/2022","10/20/2022","19283","8.33","","0.19","HIGH","1.4","14.67","30.09","16.55","146.77","12.1","1.44","13.54","14.56","12.9","1.66","209.25","2793.38","14.52","3.38","26.8","0.01","0.22","0.06","306.72","45.48","10","8.87","1.22","6.62","9.93","0.5","1.16","6.06","36.28","30.82","251.1","177.46","21.78","36.28","14.5","15.08","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19284","8.01","","0.15","HIGH","3","62.29","40.78","26.86","253.51","12.9","1.02","13.92","56.47","51.7","4.77","374.39","2338.78","20.27","17.87","34.49","0.13","1.32","1.19","317.24","62.48","24.57","9.44","1.93","26.4","0.46","3.51","1.25","13.99","72.58","126.99","449.26","358.53","23.22","72.58","49.36","51.33","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","16.56"
