Zip,Date Recd,Date Rept,Lab No,1:1 Soil pH,WDRF Buffer,1:1 Soluble Salt,Excess Lime,Organic Matter,CO2-C,H2O Total N,H2O Organic N,H2O Total Organic C,H3A Nitrate,H3A Ammonium,H3A Inorganic Nitrogen,H3A Total Phosphorus,H3A Inorganic Phosphorus,H3A Organic Phosphorus,H3A ICAP Potassium,H3A ICAP Calcium,H3A ICAP Aluminum,H3A ICAP Iron,H3A ICAP Sulfur,H3A ICAP Zinc,H3A ICAP Manganese,H3A ICAP Copper,H3A ICAP Magnesium,H3A ICAP Sodium,% MAC,Organic C:N,Organic N:Inorganic N,Organic N Release,Organic N Reserve,Organic P Release,Organic P Reserve,Soil Health Calculation,Available N,Available P,Available K,Nutrient Value,Traditional N,Haney Test N,Lbs N Difference,N savings,Past Crop,Crop 1,YG 1,Nitrogen Rec 1,P205 Rec 1,K2O Rec 1,Magnesium Rec 1,Sulfur Rec 1,Zinc Rec 1,Iron Rec 1,Manganese Rec 1,Copper Rec 1,Lime Rec 1,Crop 2,YG 2,Nitrogen Rec 2,P205 Rec 2,K2O Rec 2,Magnesium Rec 2,Sulfur Rec 2,Zinc Rec 2,Iron Rec 2,Manganese Rec 2,Copper Rec 2,Lime Rec 2,Crop 3,YG 3,Nitrogen Rec 3,P205 Rec 3,K2O Rec 3,Magnesium Rec 3,Sulfur Rec 3,Zinc Rec 3,Iron Rec 3,Manganese Rec 3,Copper Rec 3,Lime Rec 3,Beta Glucosidase ppm pNP g-1 soil h-1,Urease ppm NH4-N g-1 soil h-1,Phosphodiesterase ppm pNP g-1 soil h-1,Dehydrogenase ppm INTF g-1 soil h-1,Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1,Beta Glucosaminidase ppm pNP g-1 soil h-1,Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1,Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1,Arylsulfatase ppm pNP g-1 soil h-1,Enzyme Soil Moisture %,Beginning Depth,Ending Depth,Cover Crop Mix,Cover crop mix,Sample Type,Test ID,Soil pH 1:1,Wdrf Buffer,"1:1 Electrical Conductivity, mmho/cm","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnesium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %",H2O Org. C:Org. N ,H2O Org. N:H3A Inorg. N,"Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P",Soil Health Score,"Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","H3A Magnessium, ppm Mg"
56073,4/1/2024,4/3/2024,501446.0,5.6,6.4,0.22,NONE,3.9,118.8,42.27,24.7,214.06,13.3,4.58,17.88,23.01,19.9,3.11,65.98,459.08,149.32,74.2,19.48,0.43,10.64,0.18,132.97,10.8,55.5,8.67,1.41,24.7,0.0,3.11,0.0,16.65,102.19,52.91,79.18,170.2,31.92,102.19,70.27,73.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501447.0,5.6,6.2,0.15,NONE,4.1,117.82,31.34,20.71,240.28,7.34,5.53,12.87,22.83,18.9,3.93,63.06,469.92,146.49,75.12,12.21,0.43,10.64,0.15,128.1,9.08,49.03,11.6,1.95,20.71,0.0,3.93,0.0,16.7,80.6,52.51,75.68,145.82,17.62,80.6,62.99,65.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501448.0,5.5,6.3,0.24,NONE,3.8,116.3,38.09,20.93,237.96,13.6,4.44,18.04,28.76,25.4,3.36,72.49,427.52,148.92,83.5,15.68,0.58,14.57,0.17,124.93,9.22,48.87,11.37,1.22,20.93,0.0,3.36,0.0,16.54,93.53,66.14,86.99,171.19,32.64,93.53,60.89,63.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501449.0,6.9,,0.19,NONE,4.0,137.1,33.11,21.12,231.99,9.15,3.81,12.96,26.66,22.7,3.96,58.5,705.58,110.06,45.46,14.08,0.73,7.74,0.11,204.73,8.85,59.1,10.99,1.76,21.12,0.0,3.96,0.0,18.18,81.78,61.33,70.2,148.36,21.96,81.78,59.82,62.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501450.0,6.0,6.5,0.26,NONE,4.8,109.63,44.39,23.9,252.34,17.0,4.79,21.79,35.49,30.3,5.19,81.77,652.75,117.72,76.27,24.94,0.7,8.0,0.11,168.99,9.85,43.44,10.56,1.17,23.9,0.0,5.19,0.0,16.57,109.65,81.63,98.13,200.65,40.8,109.65,68.85,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501451.0,6.6,,0.5,NONE,3.5,127.62,84.38,19.37,185.43,59.9,8.76,68.66,41.53,39.2,2.33,107.79,724.75,149.32,68.94,31.34,0.54,8.26,0.18,187.13,14.29,68.82,9.57,0.3,19.37,0.0,2.33,0.0,16.28,211.26,95.52,129.35,328.33,143.76,211.26,67.5,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501452.0,6.1,6.7,0.49,NONE,5.0,148.74,77.35,25.75,214.13,47.8,4.37,52.17,80.24,75.2,5.04,115.55,792.29,110.18,70.39,34.34,0.92,5.87,0.15,199.98,12.23,69.46,8.32,0.5,25.75,0.0,5.04,0.0,19.25,187.0,184.54,138.65,348.7,114.72,187.0,72.28,75.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501453.0,6.1,6.7,0.57,NONE,3.9,98.1,79.0,25.44,198.26,49.9,4.65,54.55,59.92,57.0,2.92,105.62,677.37,134.4,53.36,29.21,0.83,9.35,0.18,160.17,10.21,49.48,7.79,0.47,25.44,0.0,2.92,0.0,16.32,191.98,137.82,126.74,326.43,119.76,191.98,72.22,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501454.0,5.9,6.6,0.45,NONE,4.4,124.58,85.0,21.28,211.36,59.8,5.46,65.26,40.34,36.8,3.54,103.55,711.6,148.73,48.72,28.32,0.67,6.15,0.26,164.5,10.79,58.94,9.93,0.33,21.28,0.0,3.54,0.0,16.74,207.7,92.79,124.26,320.82,143.52,207.7,64.18,66.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501455.0,6.2,6.7,0.49,NONE,4.1,82.79,78.5,25.62,189.9,47.8,6.61,54.41,49.15,45.5,3.65,153.53,704.28,134.29,93.54,39.43,0.72,15.15,0.19,170.54,12.11,43.6,7.41,0.48,25.62,0.0,3.65,0.0,14.64,192.07,113.04,184.24,343.87,114.72,192.07,77.35,80.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501456.0,7.0,,0.26,NONE,4.9,100.31,35.71,16.5,150.4,15.5,3.59,19.09,42.76,39.8,2.96,67.77,806.68,94.02,31.71,12.44,0.69,3.18,0.06,175.95,7.7,66.69,9.12,0.86,16.5,0.0,2.96,0.0,13.02,85.41,98.34,81.33,174.73,37.2,85.41,48.21,50.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,40% Legume 60% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501457.0,6.9,,0.26,NONE,4.3,43.66,38.91,14.86,154.97,21.5,3.49,24.99,105.83,102.0,3.83,159.45,921.81,106.56,30.95,28.41,0.96,7.82,0.07,181.05,9.83,28.17,10.43,0.62,14.86,0.0,3.23,0.59,8.95,95.63,242.04,191.34,306.47,51.6,95.63,44.03,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,50% Legume 50% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501458.0,6.4,6.7,0.22,NONE,4.3,138.17,48.47,12.84,189.12,33.5,3.65,37.15,61.32,57.5,3.82,101.58,748.8,131.31,50.4,11.71,0.81,7.27,0.13,173.75,10.4,73.06,14.73,0.36,12.84,0.0,3.82,0.0,16.58,119.97,141.03,121.89,250.59,80.4,119.97,39.57,41.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501459.0,6.4,6.8,0.34,NONE,4.1,120.22,71.84,24.71,213.95,43.6,3.4,47.0,82.11,77.9,4.21,73.67,751.58,135.21,41.74,29.4,1.12,6.4,0.14,185.28,9.64,56.19,8.66,0.52,24.71,0.0,4.21,0.0,16.77,172.1,188.85,88.4,310.05,104.64,172.1,67.46,70.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501460.0,5.8,6.6,0.54,NONE,4.5,139.04,101.95,22.91,212.59,68.3,20.1,88.4,69.59,65.1,4.49,131.13,736.32,125.44,53.22,37.62,1.22,8.69,0.15,174.29,12.97,65.4,9.28,0.29,22.91,0.0,4.49,0.0,18.13,267.14,160.06,157.35,430.14,163.92,267.14,103.22,107.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501461.0,6.2,6.6,0.3,NONE,4.7,163.91,57.11,23.62,202.75,30.4,5.15,35.55,94.94,89.3,5.64,123.22,713.83,105.31,75.19,15.56,1.15,7.34,0.14,178.01,8.97,80.84,8.58,0.71,23.62,0.0,5.64,0.0,20.08,142.0,218.36,147.87,322.06,72.96,142.0,69.04,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,20% Legume 80% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501462.0,6.0,6.6,0.56,NONE,4.5,166.02,84.2,19.69,183.18,59.5,9.08,68.58,69.81,65.4,4.41,101.33,745.8,112.0,108.58,34.34,1.13,11.58,0.18,172.61,10.05,90.64,9.3,0.31,19.69,0.0,4.41,0.0,19.47,211.85,160.56,121.59,354.97,142.8,211.85,69.05,71.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501463.0,6.6,,0.68,NONE,4.4,215.74,86.2,25.06,217.97,51.3,19.5,70.8,68.4,64.2,4.2,95.32,806.32,111.87,63.54,61.04,0.87,10.6,0.15,194.14,12.21,98.98,8.7,0.41,25.06,0.0,4.2,0.0,22.28,230.06,157.31,114.39,368.82,123.12,230.06,106.94,111.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501464.0,6.4,6.9,0.24,NONE,4.0,161.77,42.74,19.06,192.12,19.8,6.64,26.44,18.82,15.4,3.42,51.2,650.03,120.63,57.4,20.82,0.5,6.5,0.15,180.51,10.86,84.2,10.08,0.8,19.06,0.0,3.42,0.0,19.23,109.19,43.28,61.43,164.19,47.52,109.19,61.67,64.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501465.0,5.4,6.4,0.54,NONE,3.7,86.2,71.34,19.8,212.66,24.6,48.8,73.4,40.07,36.8,3.27,96.76,488.69,164.02,95.03,89.84,0.42,11.84,0.3,144.97,14.96,40.53,10.74,0.38,19.8,0.0,3.27,0.0,14.85,223.69,92.17,116.11,333.09,59.04,223.69,164.65,171.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501466.0,5.4,6.4,0.47,NONE,3.4,72.06,62.66,18.22,173.01,26.5,31.2,57.7,22.53,19.9,2.63,100.81,502.74,127.91,74.52,56.33,0.65,20.93,0.15,113.7,9.88,41.65,9.5,0.41,18.22,0.0,2.63,0.0,12.49,182.21,51.82,120.97,273.82,63.6,182.21,118.61,123.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501467.0,5.7,6.5,0.53,NONE,4.2,119.3,71.1,15.96,144.21,32.8,41.8,74.6,16.12,13.1,3.02,73.18,640.06,119.82,66.92,94.45,0.7,9.17,0.39,151.53,14.76,82.73,9.04,0.29,15.96,0.0,3.02,0.0,14.42,217.34,37.07,87.82,287.0,78.72,217.34,138.62,144.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501468.0,6.0,6.8,0.3,NONE,2.9,86.12,41.63,16.14,145.06,19.8,13.6,33.4,30.82,28.0,2.82,57.53,480.6,153.76,64.91,37.48,0.36,6.76,0.41,146.55,14.45,59.37,8.99,0.63,16.14,0.0,2.82,0.0,13.13,118.9,70.9,69.04,190.79,47.52,118.9,71.38,74.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,40% Legume 60% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501469.0,5.4,6.3,0.41,NONE,3.7,139.36,48.04,18.18,197.88,22.4,14.3,36.7,30.74,27.6,3.14,68.75,447.72,154.46,82.39,43.34,0.49,11.84,0.24,135.9,9.61,70.43,10.88,0.61,18.18,0.0,3.14,0.0,17.39,131.72,70.71,82.5,210.77,53.76,131.72,77.96,81.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501470.0,5.6,6.6,0.8,NONE,3.9,164.3,102.69,22.65,219.43,40.1,65.3,105.4,31.47,27.7,3.77,141.15,617.3,126.29,70.07,138.82,0.72,12.07,0.16,156.37,13.79,74.88,9.69,0.28,22.65,0.0,3.77,0.0,20.35,307.33,72.38,169.38,437.6,96.24,307.33,211.09,219.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,10% Legume 90% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
